Past 7 days analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Past 7 days
Radio 1,82197832,North-Western,Solwezi,Urban,Female,0,None,C2,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"Radio 1,Kabangabanga,FCC Solwezi"
FCC Solwezi,82197832,North-Western,Solwezi,Urban,Female,0,None,C2,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"Radio 1,Kabangabanga,FCC Solwezi"
Kabangabanga,82203389,North-Western,Solwezi,Urban,Male,1,None,C2,Primary school completed,Other Christian,Self employed,C2,Under K 849,Yes,25 – 34,Kabangabanga
Radio Christian Voice,82205276,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"Phoenix,Radio 4,Icengelo,Radio 1,Flava FM,Radio Christian Voice,Radio 2"
Radio 1,82205276,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"Phoenix,Radio 4,Icengelo,Radio 1,Flava FM,Radio Christian Voice,Radio 2"
Icengelo,82205276,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"Phoenix,Radio 4,Icengelo,Radio 1,Flava FM,Radio Christian Voice,Radio 2"
Phoenix,82205276,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"Phoenix,Radio 4,Icengelo,Radio 1,Flava FM,Radio Christian Voice,Radio 2"
Radio 2,82205276,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"Phoenix,Radio 4,Icengelo,Radio 1,Flava FM,Radio Christian Voice,Radio 2"
Flava FM,82205276,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"Phoenix,Radio 4,Icengelo,Radio 1,Flava FM,Radio Christian Voice,Radio 2"
Radio 4,82205276,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"Phoenix,Radio 4,Icengelo,Radio 1,Flava FM,Radio Christian Voice,Radio 2"
Radio 1,82205278,Copperbelt,Kitwe,Urban,Female,3,None,C2,Some primary school,Other Christian,A housewife/househusband,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"Icengelo,Radio 1,Radio Christian Voice"
Radio Christian Voice,82205278,Copperbelt,Kitwe,Urban,Female,3,None,C2,Some primary school,Other Christian,A housewife/househusband,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"Icengelo,Radio 1,Radio Christian Voice"
Icengelo,82205278,Copperbelt,Kitwe,Urban,Female,3,None,C2,Some primary school,Other Christian,A housewife/househusband,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"Icengelo,Radio 1,Radio Christian Voice"
Flava FM,82205279,Copperbelt,Kitwe,Urban,Female,2,None,C2,Primary school completed,Other Christian,A subsistence farmer/fisherman,C2,"K 3,891  -  K 4,627",No,25 – 34,Flava FM
Flava FM,82205281,Copperbelt,Kitwe,Urban,Female,2,None,C2,Some high school,Other Christian,A housewife/househusband,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"Radio 1,Flava FM"
Radio 1,82205281,Copperbelt,Kitwe,Urban,Female,2,None,C2,Some high school,Other Christian,A housewife/househusband,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"Radio 1,Flava FM"
Feel Free,82210555,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,No,25 – 34,"Maria,Breeze,Feel Free"
Breeze,82210555,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,No,25 – 34,"Maria,Breeze,Feel Free"
Maria,82210555,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,No,25 – 34,"Maria,Breeze,Feel Free"
Breeze,82210558,Eastern,Chipata,Rural,Male,3,None,C2,Completed high School,Other Christian,Other (specify),C2,"K 1675- K2,499",No,25 – 34,Breeze
Feel Free,82210559,Eastern,Chipata,Rural,Female,1,None,C2,Completed high School,Other Christian,Other (specify),C2,"K 1675- K2,499",No,25 – 34,Feel Free
Feel Free,82213890,Eastern,Chipata,Urban,Male,0,None,C2,Some high school,Other Christian,Student,C2,Under K 849,No,19 – 24,"Maria,Breeze,Feel Free"
Breeze,82213890,Eastern,Chipata,Urban,Male,0,None,C2,Some high school,Other Christian,Student,C2,Under K 849,No,19 – 24,"Maria,Breeze,Feel Free"
Maria,82213890,Eastern,Chipata,Urban,Male,0,None,C2,Some high school,Other Christian,Student,C2,Under K 849,No,19 – 24,"Maria,Breeze,Feel Free"
QFM,82213891,Eastern,Chipata,Urban,Male,1,None,C2,Primary school completed,Other Christian,Do odd jobs or piece work,C2,K 850-K 1674,Yes,35 – 44,"Maria,Breeze,QFM,Radio 2"
Breeze,82213891,Eastern,Chipata,Urban,Male,1,None,C2,Primary school completed,Other Christian,Do odd jobs or piece work,C2,K 850-K 1674,Yes,35 – 44,"Maria,Breeze,QFM,Radio 2"
Maria,82213891,Eastern,Chipata,Urban,Male,1,None,C2,Primary school completed,Other Christian,Do odd jobs or piece work,C2,K 850-K 1674,Yes,35 – 44,"Maria,Breeze,QFM,Radio 2"
Radio 2,82213891,Eastern,Chipata,Urban,Male,1,None,C2,Primary school completed,Other Christian,Do odd jobs or piece work,C2,K 850-K 1674,Yes,35 – 44,"Maria,Breeze,QFM,Radio 2"
Radio Christian Voice,82267632,Copperbelt,Ndola,Urban,Male,2,Two or More,C2,Some university,Other Christian,Student,C2,Do not know,Yes,25 – 34,Radio Christian Voice
Icengelo,82274452,Copperbelt,Kitwe,Urban,Female,1,None,C2,Primary school completed,Other Christian,A business owner,C2,K 850-K 1674,No,35 – 44,Icengelo
Flava FM,82278964,Copperbelt,Kitwe,Urban,Female,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Refusal [Do not show],No,19 – 24,Flava FM
Feel Free,82280559,Eastern,Chipata,Rural,Female,1,None,C2,Some high school,Other Christian,Self employed,C2,K 850-K 1674,Yes,35 – 44,"Maria,Breeze,Feel Free"
Breeze,82280559,Eastern,Chipata,Rural,Female,1,None,C2,Some high school,Other Christian,Self employed,C2,K 850-K 1674,Yes,35 – 44,"Maria,Breeze,Feel Free"
Maria,82280559,Eastern,Chipata,Rural,Female,1,None,C2,Some high school,Other Christian,Self employed,C2,K 850-K 1674,Yes,35 – 44,"Maria,Breeze,Feel Free"
Feel Free,82283478,Eastern,Chipata,Rural,Female,1,None,C2,Primary school completed,Other Christian,A housewife/househusband,C2,K 850-K 1674,Yes,19 – 24,"Maria,Breeze,Radio 2,Feel Free"
Breeze,82283478,Eastern,Chipata,Rural,Female,1,None,C2,Primary school completed,Other Christian,A housewife/househusband,C2,K 850-K 1674,Yes,19 – 24,"Maria,Breeze,Radio 2,Feel Free"
Maria,82283478,Eastern,Chipata,Rural,Female,1,None,C2,Primary school completed,Other Christian,A housewife/househusband,C2,K 850-K 1674,Yes,19 – 24,"Maria,Breeze,Radio 2,Feel Free"
Radio 2,82283478,Eastern,Chipata,Rural,Female,1,None,C2,Primary school completed,Other Christian,A housewife/househusband,C2,K 850-K 1674,Yes,19 – 24,"Maria,Breeze,Radio 2,Feel Free"
Feel Free,82290977,Eastern,Chipata,Urban,Male,1,None,C2,Primary school completed,Other Christian,Other (specify),C2,Under K 849,No,25 – 34,"Maria,Breeze,Feel Free"
Breeze,82290977,Eastern,Chipata,Urban,Male,1,None,C2,Primary school completed,Other Christian,Other (specify),C2,Under K 849,No,25 – 34,"Maria,Breeze,Feel Free"
Maria,82290977,Eastern,Chipata,Urban,Male,1,None,C2,Primary school completed,Other Christian,Other (specify),C2,Under K 849,No,25 – 34,"Maria,Breeze,Feel Free"
Breeze,82290983,Eastern,Chipata,Urban,Male,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Do not know,No,25 – 34,Breeze
Feel Free,82290984,Eastern,Chipata,Urban,Male,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,No,25 – 34,"Breeze,Feel Free"
Breeze,82290984,Eastern,Chipata,Urban,Male,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,No,25 – 34,"Breeze,Feel Free"
Feel Free,82290985,Eastern,Chipata,Urban,Female,1,None,C2,Some primary school,Other Christian,Student,C2,Under K 849,No,35 – 44,Feel Free
Radio Christian Voice,82291924,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,A housewife/househusband,C2,"K 1675- K2,499",Yes,25 – 34,"Radio 4,Icengelo,Radio 1,Radio Christian Voice,Radio 2"
Radio 1,82291924,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,A housewife/househusband,C2,"K 1675- K2,499",Yes,25 – 34,"Radio 4,Icengelo,Radio 1,Radio Christian Voice,Radio 2"
Icengelo,82291924,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,A housewife/househusband,C2,"K 1675- K2,499",Yes,25 – 34,"Radio 4,Icengelo,Radio 1,Radio Christian Voice,Radio 2"
Radio 2,82291924,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,A housewife/househusband,C2,"K 1675- K2,499",Yes,25 – 34,"Radio 4,Icengelo,Radio 1,Radio Christian Voice,Radio 2"
Radio 4,82291924,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,A housewife/househusband,C2,"K 1675- K2,499",Yes,25 – 34,"Radio 4,Icengelo,Radio 1,Radio Christian Voice,Radio 2"
Icengelo,82292843,Copperbelt,Kitwe,Urban,Male,1,None,C2,Some university,Other Christian,A business owner,C2,Under K 849,Yes,19 – 24,Icengelo
Radio 1,82362069,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Other Christian,A subsistence farmer/fisherman,C2,Under K 849,Yes,25 – 34,"Radio 1,Radio 2"
Radio 2,82362069,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Other Christian,A subsistence farmer/fisherman,C2,Under K 849,Yes,25 – 34,"Radio 1,Radio 2"
Feel Free,82369700,Eastern,Chipata,Urban,Male,1,None,C2,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,No,35 – 44,"Maria,Breeze,Feel Free"
Breeze,82369700,Eastern,Chipata,Urban,Male,1,None,C2,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,No,35 – 44,"Maria,Breeze,Feel Free"
Maria,82369700,Eastern,Chipata,Urban,Male,1,None,C2,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,No,35 – 44,"Maria,Breeze,Feel Free"
Feel Free,82369701,Eastern,Chipata,Urban,Male,1,None,C2,Some high school,Other Christian,Self employed,C2,Under K 849,No,25 – 34,"Breeze,Feel Free"
Breeze,82369701,Eastern,Chipata,Urban,Male,1,None,C2,Some high school,Other Christian,Self employed,C2,Under K 849,No,25 – 34,"Breeze,Feel Free"
Kabangabanga,82370971,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Other Christian,A subsistence farmer/fisherman,C2,Under K 849,Yes,19 – 24,Kabangabanga
Radio Christian Voice,82372814,North-Western,Solwezi,Rural,Female,1,None,C2,Some high school,Other Christian,A subsistence farmer/fisherman,C2,Under K 849,Yes,35 – 44,Radio Christian Voice
Feel Free,82372896,Eastern,Chipata,Rural,Male,1,None,C2,Primary school completed,Other Christian,Do odd jobs or piece work,C2,K 850-K 1674,Yes,25 – 34,"Maria,Breeze,Feel Free"
Breeze,82372896,Eastern,Chipata,Rural,Male,1,None,C2,Primary school completed,Other Christian,Do odd jobs or piece work,C2,K 850-K 1674,Yes,25 – 34,"Maria,Breeze,Feel Free"
Maria,82372896,Eastern,Chipata,Rural,Male,1,None,C2,Primary school completed,Other Christian,Do odd jobs or piece work,C2,K 850-K 1674,Yes,25 – 34,"Maria,Breeze,Feel Free"
QFM,82372898,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Do odd jobs or piece work,C2,Under K 849,Yes,35 – 44,QFM
Feel Free,82372905,Eastern,Chipata,Urban,Female,1,None,C2,Some high school,Other Christian,Working Full-Time,C2,K 850-K 1674,Yes,19 – 24,"Maria,Feel Free"
Maria,82372905,Eastern,Chipata,Urban,Female,1,None,C2,Some high school,Other Christian,Working Full-Time,C2,K 850-K 1674,Yes,19 – 24,"Maria,Feel Free"
Radio 1,82378696,Copperbelt,Kitwe,Urban,Female,3,None,C2,Some high school,Other Christian,Self employed,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"Icengelo,Radio 1,Radio Christian Voice"
Radio Christian Voice,82378696,Copperbelt,Kitwe,Urban,Female,3,None,C2,Some high school,Other Christian,Self employed,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"Icengelo,Radio 1,Radio Christian Voice"
Icengelo,82378696,Copperbelt,Kitwe,Urban,Female,3,None,C2,Some high school,Other Christian,Self employed,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"Icengelo,Radio 1,Radio Christian Voice"
Radio 1,82388375,North-Western,Solwezi,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,C2,"K 1675- K2,499",Yes,35 – 44,Radio 1
Radio Christian Voice,82397155,North-Western,Solwezi,Rural,Female,1,None,C2,Some high school,Other Christian,A subsistence farmer/fisherman,C2,K 850-K 1674,Yes,35 – 44,Radio Christian Voice
Radio Christian Voice,82449715,Copperbelt,Ndola,Urban,Female,1,None,C2,Some high school,Other Christian,Refused/ don’t know (DON’T READ),C2,Refusal [Do not show],Yes,25 – 34,Radio Christian Voice
Radio Christian Voice,82452572,Copperbelt,Ndola,Urban,Male,3,None,C2,Completed high School,Other Christian,A housewife/househusband,C2,Refusal [Do not show],Yes,19 – 24,Radio Christian Voice
Breeze,82454773,Eastern,Chipata,Rural,Female,1,None,C2,Some high school,Other Christian,Do odd jobs or piece work,C2,Under K 849,Yes,35 – 44,Breeze
Radio 1,82456738,Copperbelt,Kitwe,Rural,Female,1,None,C2,Primary school completed,Other Christian,A housewife/househusband,C2,Refusal [Do not show],Yes,19 – 24,"Icengelo,Radio 1,Radio Christian Voice"
Radio Christian Voice,82456738,Copperbelt,Kitwe,Rural,Female,1,None,C2,Primary school completed,Other Christian,A housewife/househusband,C2,Refusal [Do not show],Yes,19 – 24,"Icengelo,Radio 1,Radio Christian Voice"
Icengelo,82456738,Copperbelt,Kitwe,Rural,Female,1,None,C2,Primary school completed,Other Christian,A housewife/househusband,C2,Refusal [Do not show],Yes,19 – 24,"Icengelo,Radio 1,Radio Christian Voice"
Maria,82459432,Eastern,Chipata,Rural,Female,1,None,C2,Some high school,Other Christian,Do odd jobs or piece work,C2,Under K 849,Yes,35 – 44,Maria
Radio 4,82459984,Copperbelt,Kitwe,Rural,Female,1,None,C2,Primary school completed,Other Christian,A housewife/househusband,C2,"K 1675- K2,499",Yes,25 – 34,"Radio 4,Icengelo,Radio 1"
Icengelo,82459984,Copperbelt,Kitwe,Rural,Female,1,None,C2,Primary school completed,Other Christian,A housewife/househusband,C2,"K 1675- K2,499",Yes,25 – 34,"Radio 4,Icengelo,Radio 1"
Radio 1,82459984,Copperbelt,Kitwe,Rural,Female,1,None,C2,Primary school completed,Other Christian,A housewife/househusband,C2,"K 1675- K2,499",Yes,25 – 34,"Radio 4,Icengelo,Radio 1"
Radio Christian Voice,82536066,Copperbelt,Ndola,Urban,Male,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Refusal [Do not show],Yes,25 – 34,Radio Christian Voice
Radio 1,134652710,Western,Kaoma,Urban,Female,2,,C2,Tertiary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"Radio 1,Liseli"
Liseli,134652710,Western,Kaoma,Urban,Female,2,,C2,Tertiary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"Radio 1,Liseli"
Lyambai,134958510,Western,Mongu,Rural,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,19 – 24,"Liseli,Lyambai"
Liseli,134958510,Western,Mongu,Rural,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,19 – 24,"Liseli,Lyambai"
Mungu,134958535,Western,Mongu,Rural,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"Radio 1,Mungu,Liseli,Lyambai"
Radio 1,134958535,Western,Mongu,Rural,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"Radio 1,Mungu,Liseli,Lyambai"
Lyambai,134958535,Western,Mongu,Rural,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"Radio 1,Mungu,Liseli,Lyambai"
Liseli,134958535,Western,Mongu,Rural,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"Radio 1,Mungu,Liseli,Lyambai"
Lyambai,134965406,Western,Mongu,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,25 – 34,"Radio 1,Mungu,Radio 2,Liseli,Lyambai"
Radio 1,134965406,Western,Mongu,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,25 – 34,"Radio 1,Mungu,Radio 2,Liseli,Lyambai"
Radio 2,134965406,Western,Mongu,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,25 – 34,"Radio 1,Mungu,Radio 2,Liseli,Lyambai"
Mungu,134965406,Western,Mongu,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,25 – 34,"Radio 1,Mungu,Radio 2,Liseli,Lyambai"
Liseli,134965406,Western,Mongu,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,25 – 34,"Radio 1,Mungu,Radio 2,Liseli,Lyambai"
Radio 1,135044009,Western,Kalabo,Urban,Female,2,,C2,Primary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,35 – 44,Radio 1
Radio 1,135044719,Western,Kalabo,Rural,Female,1,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,Radio 1
Nmano,134817368,Northern,Mungwi,Rural,Male,2,,C2,Primary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,45+,"Nothern FM,Lutanda,Nmano"
Nothern FM,134817368,Northern,Mungwi,Rural,Male,2,,C2,Primary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,45+,"Nothern FM,Lutanda,Nmano"
Lutanda,134817368,Northern,Mungwi,Rural,Male,2,,C2,Primary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,45+,"Nothern FM,Lutanda,Nmano"
Nmano,135083754,Northern,Kasama,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,35 – 44,"Radio 1,Radio 2,Nmano"
Radio 1,135083754,Northern,Kasama,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,35 – 44,"Radio 1,Radio 2,Nmano"
Radio 2,135083754,Northern,Kasama,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,35 – 44,"Radio 1,Radio 2,Nmano"
Nmano,135082803,Northern,Kasama,Urban,Female,2,,C2,Primary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,45+,"Nothern FM,Lutanda,Nmano"
Nothern FM,135082803,Northern,Kasama,Urban,Female,2,,C2,Primary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,45+,"Nothern FM,Lutanda,Nmano"
Lutanda,135082803,Northern,Kasama,Urban,Female,2,,C2,Primary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,45+,"Nothern FM,Lutanda,Nmano"
Nmano,134722917,Northern,Mungwi,Urban,Male,2,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,25 – 34,"Lutanda,Nmano"
Lutanda,134722917,Northern,Mungwi,Urban,Male,2,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,25 – 34,"Lutanda,Nmano"
Nmano,134987028,Northern,Kasama,Rural,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,19 – 24,Radio Mano
Radio 1,134590197,Northern,Mungwi,Rural,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,15 – 18,"Radio 1,Radio 2"
Radio 2,134590197,Northern,Mungwi,Rural,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,15 – 18,"Radio 1,Radio 2"
Nmano,134623433,Northern,Mungwi,Rural,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,35 – 44,Radio Mano
Nmano,134663388,Northern,Mungwi,Rural,Female,3,,C2,Tertiary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"Lutanda,Nmano"
Lutanda,134663388,Northern,Mungwi,Rural,Female,3,,C2,Tertiary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"Lutanda,Nmano"
Nmano,134668452,Northern,Mungwi,Rural,Female,1,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,Radio Mano
Radio 1,135084806,Muchinga,Chinsali,Urban,Male,1,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"Radio 1,Muchinga"
Muchinga,135084806,Muchinga,Chinsali,Urban,Male,1,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"Radio 1,Muchinga"
Radio 1,134801135,Muchinga,Mpika,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"Radio 1,Radio 2,Mpika"
Mpika,134801135,Muchinga,Mpika,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"Radio 1,Radio 2,Mpika"
Radio 2,134801135,Muchinga,Mpika,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"Radio 1,Radio 2,Mpika"
Mpika,134974993,Muchinga,Mpika,Rural,Male,1,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,45+,"Radio 2,Mpika"
Radio 2,134974993,Muchinga,Mpika,Rural,Male,1,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,45+,"Radio 2,Mpika"
Isoka,134704106,Muchinga,Isoka,Urban,Male,3,,C2,Primary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,19 – 24,Isoka
Radio 4,134865862,Muchinga,Mpika,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,19 – 24,"Radio 4,Radio 2,Mpika"
Mpika,134865862,Muchinga,Mpika,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,19 – 24,"Radio 4,Radio 2,Mpika"
Radio 2,134865862,Muchinga,Mpika,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,19 – 24,"Radio 4,Radio 2,Mpika"
Mpika,134847535,Muchinga,Mpika,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,19 – 24,Mpika
Radio 1,134883674,Muchinga,Mpika,Urban,Female,1,,C2,Primary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,19 – 24,Radio 1
Mpika,134914234,Muchinga,Mpika,Rural,Female,3,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,15 – 18,Mpika
Radio 1,135085538,Muchinga,Chinsali,Urban,Female,1,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"Radio 1,Muchinga,Radio 2"
Muchinga,135085538,Muchinga,Chinsali,Urban,Female,1,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"Radio 1,Muchinga,Radio 2"
Radio 2,135085538,Muchinga,Chinsali,Urban,Female,1,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"Radio 1,Muchinga,Radio 2"
Radio 2,134865863,Muchinga,Mpika,Urban,Female,2,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,19 – 24,Radio 2
Radio 4,135084804,Muchinga,Chinsali,Urban,Male,1,,C2,Primary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,45+,"Radio 4,Radio 1"
Radio 1,135084804,Muchinga,Chinsali,Urban,Male,1,,C2,Primary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,45+,"Radio 4,Radio 1"
Yangeni,134841030,Luapula,Mansa,Urban,Male,1,,C2,Tertiary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"K FM,Tuta,Yangeni"
Tuta,134841030,Luapula,Mansa,Urban,Male,1,,C2,Tertiary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"K FM,Tuta,Yangeni"
K FM,134841030,Luapula,Mansa,Urban,Male,1,,C2,Tertiary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"K FM,Tuta,Yangeni"
Tuta,134844227,Luapula,Mansa,Urban,Male,1,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,Tuta
Yangeni,134844851,Luapula,Mansa,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,25 – 34,"K FM,Tuta,Yangeni"
Tuta,134844851,Luapula,Mansa,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,25 – 34,"K FM,Tuta,Yangeni"
K FM,134844851,Luapula,Mansa,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,25 – 34,"K FM,Tuta,Yangeni"
Parliament,134844852,Luapula,Mansa,Urban,Male,1,,C2,Tertiary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,45+,"Tuta,Radio 1,Radio 2,Parliament,Yangeni"
Radio 1,134844852,Luapula,Mansa,Urban,Male,1,,C2,Tertiary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,45+,"Tuta,Radio 1,Radio 2,Parliament,Yangeni"
Radio 2,134844852,Luapula,Mansa,Urban,Male,1,,C2,Tertiary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,45+,"Tuta,Radio 1,Radio 2,Parliament,Yangeni"
Yangeni,134844852,Luapula,Mansa,Urban,Male,1,,C2,Tertiary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,45+,"Tuta,Radio 1,Radio 2,Parliament,Yangeni"
