KNC  Tuesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,KNC  Tuesday
18:15  -  18:29,135119158,Central,Kapiri Mposhi,Rural,Female,2,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:30  -  21:44,21:45  -  21:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
18:30  -  18:44,135119158,Central,Kapiri Mposhi,Rural,Female,2,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:30  -  21:44,21:45  -  21:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
20:15  -  20:29,135119158,Central,Kapiri Mposhi,Rural,Female,2,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:30  -  21:44,21:45  -  21:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
6:15  -  6:29,135120129,Central,Kapiri Mposhi,Rural,Female,2,,C2,Secondary,Other,Employed not for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
10:30  -  10:44,135120129,Central,Kapiri Mposhi,Rural,Female,2,,C2,Secondary,Other,Employed not for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
9:00  -  9:14,135120129,Central,Kapiri Mposhi,Rural,Female,2,,C2,Secondary,Other,Employed not for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
9:15  -  9:29,135120129,Central,Kapiri Mposhi,Rural,Female,2,,C2,Secondary,Other,Employed not for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
7:30  -  7:44,135120129,Central,Kapiri Mposhi,Rural,Female,2,,C2,Secondary,Other,Employed not for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
8:45  -  8:59,135120129,Central,Kapiri Mposhi,Rural,Female,2,,C2,Secondary,Other,Employed not for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
8:30  -  8:44,135120129,Central,Kapiri Mposhi,Rural,Female,2,,C2,Secondary,Other,Employed not for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
6:00  -  6:14,135120129,Central,Kapiri Mposhi,Rural,Female,2,,C2,Secondary,Other,Employed not for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
10:15  -  10:29,135120129,Central,Kapiri Mposhi,Rural,Female,2,,C2,Secondary,Other,Employed not for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
9:30  -  9:44,135120129,Central,Kapiri Mposhi,Rural,Female,2,,C2,Secondary,Other,Employed not for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
6:45  -  6:59,135120129,Central,Kapiri Mposhi,Rural,Female,2,,C2,Secondary,Other,Employed not for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
11:00  -  11:14,135120129,Central,Kapiri Mposhi,Rural,Female,2,,C2,Secondary,Other,Employed not for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
6:30  -  6:44,135120129,Central,Kapiri Mposhi,Rural,Female,2,,C2,Secondary,Other,Employed not for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
8:00  -  8:14,135120129,Central,Kapiri Mposhi,Rural,Female,2,,C2,Secondary,Other,Employed not for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
9:45  -  9:59,135120129,Central,Kapiri Mposhi,Rural,Female,2,,C2,Secondary,Other,Employed not for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
10:45  -  10:59,135120129,Central,Kapiri Mposhi,Rural,Female,2,,C2,Secondary,Other,Employed not for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
10:00  -  10:14,135120129,Central,Kapiri Mposhi,Rural,Female,2,,C2,Secondary,Other,Employed not for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
7:15  -  7:29,135120129,Central,Kapiri Mposhi,Rural,Female,2,,C2,Secondary,Other,Employed not for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
8:15  -  8:29,135120129,Central,Kapiri Mposhi,Rural,Female,2,,C2,Secondary,Other,Employed not for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
7:45  -  7:59,135120129,Central,Kapiri Mposhi,Rural,Female,2,,C2,Secondary,Other,Employed not for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
7:00  -  7:14,135120129,Central,Kapiri Mposhi,Rural,Female,2,,C2,Secondary,Other,Employed not for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
11:15  -  11:29,135120129,Central,Kapiri Mposhi,Rural,Female,2,,C2,Secondary,Other,Employed not for cash,C2,"K 2,500   -  K 3,154",,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
6:15  -  6:29,134920812,Central,Mkushi,Urban,Male,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
21:00  -  21:14,134920812,Central,Mkushi,Urban,Male,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
9:00  -  9:14,134920812,Central,Mkushi,Urban,Male,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
21:45  -  21:59,134920812,Central,Mkushi,Urban,Male,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
20:00  -  20:14,134920812,Central,Mkushi,Urban,Male,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
7:30  -  7:44,134920812,Central,Mkushi,Urban,Male,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
21:15  -  21:29,134920812,Central,Mkushi,Urban,Male,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
8:45  -  8:59,134920812,Central,Mkushi,Urban,Male,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
8:30  -  8:44,134920812,Central,Mkushi,Urban,Male,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
20:45  -  20:59,134920812,Central,Mkushi,Urban,Male,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
