Radio 4  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Radio 4  Yesterday
16:45  -  16:59,135120180,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,15 – 18,"16:45  -  16:59,17:15  -  17:29,18:00  -  18:14,18:45  -  18:59,19:00  -  19:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
12:30  -  12:44,134921928,Western,Mongu,Rural,Female,1,,D,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:15  -  12:29,12:30  -  12:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
11:30  -  11:44,134921928,Western,Mongu,Rural,Female,1,,D,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:15  -  12:29,12:30  -  12:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
11:15  -  11:29,134921928,Western,Mongu,Rural,Female,1,,D,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:15  -  12:29,12:30  -  12:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
12:15  -  12:29,134921928,Western,Mongu,Rural,Female,1,,D,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:15  -  12:29,12:30  -  12:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
11:00  -  11:14,134921928,Western,Mongu,Rural,Female,1,,D,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:15  -  12:29,12:30  -  12:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
15:00  -  15:14,135120155,Western,Senanga,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,K 850-K 1674,,15 – 18,"7:15  -  7:29,8:15  -  8:29,9:00  -  9:14,11:00  -  11:14,11:45  -  11:59,13:15  -  13:29,13:45  -  13:59,15:00  -  15:14,16:00  -  16:14,16:30  -  16:44,17:45  -  17:59,18:15  -  18:29,19:45  -  19:59,20:30  -  20:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
13:45  -  13:59,135120155,Western,Senanga,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,K 850-K 1674,,15 – 18,"7:15  -  7:29,8:15  -  8:29,9:00  -  9:14,11:00  -  11:14,11:45  -  11:59,13:15  -  13:29,13:45  -  13:59,15:00  -  15:14,16:00  -  16:14,16:30  -  16:44,17:45  -  17:59,18:15  -  18:29,19:45  -  19:59,20:30  -  20:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
19:45  -  19:59,135120155,Western,Senanga,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,K 850-K 1674,,15 – 18,"7:15  -  7:29,8:15  -  8:29,9:00  -  9:14,11:00  -  11:14,11:45  -  11:59,13:15  -  13:29,13:45  -  13:59,15:00  -  15:14,16:00  -  16:14,16:30  -  16:44,17:45  -  17:59,18:15  -  18:29,19:45  -  19:59,20:30  -  20:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
7:15  -  7:29,135120155,Western,Senanga,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,K 850-K 1674,,15 – 18,"7:15  -  7:29,8:15  -  8:29,9:00  -  9:14,11:00  -  11:14,11:45  -  11:59,13:15  -  13:29,13:45  -  13:59,15:00  -  15:14,16:00  -  16:14,16:30  -  16:44,17:45  -  17:59,18:15  -  18:29,19:45  -  19:59,20:30  -  20:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
8:15  -  8:29,135120155,Western,Senanga,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,K 850-K 1674,,15 – 18,"7:15  -  7:29,8:15  -  8:29,9:00  -  9:14,11:00  -  11:14,11:45  -  11:59,13:15  -  13:29,13:45  -  13:59,15:00  -  15:14,16:00  -  16:14,16:30  -  16:44,17:45  -  17:59,18:15  -  18:29,19:45  -  19:59,20:30  -  20:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
13:15  -  13:29,135120155,Western,Senanga,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,K 850-K 1674,,15 – 18,"7:15  -  7:29,8:15  -  8:29,9:00  -  9:14,11:00  -  11:14,11:45  -  11:59,13:15  -  13:29,13:45  -  13:59,15:00  -  15:14,16:00  -  16:14,16:30  -  16:44,17:45  -  17:59,18:15  -  18:29,19:45  -  19:59,20:30  -  20:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
17:45  -  17:59,135120155,Western,Senanga,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,K 850-K 1674,,15 – 18,"7:15  -  7:29,8:15  -  8:29,9:00  -  9:14,11:00  -  11:14,11:45  -  11:59,13:15  -  13:29,13:45  -  13:59,15:00  -  15:14,16:00  -  16:14,16:30  -  16:44,17:45  -  17:59,18:15  -  18:29,19:45  -  19:59,20:30  -  20:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
16:00  -  16:14,135120155,Western,Senanga,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,K 850-K 1674,,15 – 18,"7:15  -  7:29,8:15  -  8:29,9:00  -  9:14,11:00  -  11:14,11:45  -  11:59,13:15  -  13:29,13:45  -  13:59,15:00  -  15:14,16:00  -  16:14,16:30  -  16:44,17:45  -  17:59,18:15  -  18:29,19:45  -  19:59,20:30  -  20:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
11:45  -  11:59,135120155,Western,Senanga,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,K 850-K 1674,,15 – 18,"7:15  -  7:29,8:15  -  8:29,9:00  -  9:14,11:00  -  11:14,11:45  -  11:59,13:15  -  13:29,13:45  -  13:59,15:00  -  15:14,16:00  -  16:14,16:30  -  16:44,17:45  -  17:59,18:15  -  18:29,19:45  -  19:59,20:30  -  20:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
20:30  -  20:44,135120155,Western,Senanga,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,K 850-K 1674,,15 – 18,"7:15  -  7:29,8:15  -  8:29,9:00  -  9:14,11:00  -  11:14,11:45  -  11:59,13:15  -  13:29,13:45  -  13:59,15:00  -  15:14,16:00  -  16:14,16:30  -  16:44,17:45  -  17:59,18:15  -  18:29,19:45  -  19:59,20:30  -  20:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
16:30  -  16:44,135120155,Western,Senanga,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,K 850-K 1674,,15 – 18,"7:15  -  7:29,8:15  -  8:29,9:00  -  9:14,11:00  -  11:14,11:45  -  11:59,13:15  -  13:29,13:45  -  13:59,15:00  -  15:14,16:00  -  16:14,16:30  -  16:44,17:45  -  17:59,18:15  -  18:29,19:45  -  19:59,20:30  -  20:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
9:00  -  9:14,135120155,Western,Senanga,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,K 850-K 1674,,15 – 18,"7:15  -  7:29,8:15  -  8:29,9:00  -  9:14,11:00  -  11:14,11:45  -  11:59,13:15  -  13:29,13:45  -  13:59,15:00  -  15:14,16:00  -  16:14,16:30  -  16:44,17:45  -  17:59,18:15  -  18:29,19:45  -  19:59,20:30  -  20:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
11:00  -  11:14,135120155,Western,Senanga,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,K 850-K 1674,,15 – 18,"7:15  -  7:29,8:15  -  8:29,9:00  -  9:14,11:00  -  11:14,11:45  -  11:59,13:15  -  13:29,13:45  -  13:59,15:00  -  15:14,16:00  -  16:14,16:30  -  16:44,17:45  -  17:59,18:15  -  18:29,19:45  -  19:59,20:30  -  20:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
18:15  -  18:29,135120155,Western,Senanga,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,K 850-K 1674,,15 – 18,"7:15  -  7:29,8:15  -  8:29,9:00  -  9:14,11:00  -  11:14,11:45  -  11:59,13:15  -  13:29,13:45  -  13:59,15:00  -  15:14,16:00  -  16:14,16:30  -  16:44,17:45  -  17:59,18:15  -  18:29,19:45  -  19:59,20:30  -  20:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
15:30  -  15:44,134875904,Northern,Kasama,Rural,Male,2,,D,No formal education,Christian,Not employed,D,K 850-K 1674,,15 – 18,"15:30  -  15:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
20:15  -  20:29,135084801,Muchinga,Chinsali,Urban,Female,1,,D,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
20:45  -  20:59,135084801,Muchinga,Chinsali,Urban,Female,1,,D,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
20:00  -  20:14,135084801,Muchinga,Chinsali,Urban,Female,1,,D,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
21:00  -  21:14,135084801,Muchinga,Chinsali,Urban,Female,1,,D,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
19:45  -  19:59,135084801,Muchinga,Chinsali,Urban,Female,1,,D,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
21:30  -  21:44,135084801,Muchinga,Chinsali,Urban,Female,1,,D,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
19:30  -  19:44,135084801,Muchinga,Chinsali,Urban,Female,1,,D,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
19:15  -  19:29,135084801,Muchinga,Chinsali,Urban,Female,1,,D,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
22:00  -  22:14,135084801,Muchinga,Chinsali,Urban,Female,1,,D,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
21:15  -  21:29,135084801,Muchinga,Chinsali,Urban,Female,1,,D,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
20:30  -  20:44,135084801,Muchinga,Chinsali,Urban,Female,1,,D,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
21:45  -  21:59,135084801,Muchinga,Chinsali,Urban,Female,1,,D,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
19:00  -  19:14,135084801,Muchinga,Chinsali,Urban,Female,1,,D,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
8:00  -  8:14,135046403,Central,Kapiri Mposhi,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,K 850-K 1674,,19 – 24,"8:00  -  8:14,9:00  -  9:14,11:15  -  11:29,12:15  -  12:29,14:30  -  14:44,14:45  -  14:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
11:15  -  11:29,135046403,Central,Kapiri Mposhi,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,K 850-K 1674,,19 – 24,"8:00  -  8:14,9:00  -  9:14,11:15  -  11:29,12:15  -  12:29,14:30  -  14:44,14:45  -  14:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
12:15  -  12:29,135046403,Central,Kapiri Mposhi,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,K 850-K 1674,,19 – 24,"8:00  -  8:14,9:00  -  9:14,11:15  -  11:29,12:15  -  12:29,14:30  -  14:44,14:45  -  14:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
14:30  -  14:44,135046403,Central,Kapiri Mposhi,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,K 850-K 1674,,19 – 24,"8:00  -  8:14,9:00  -  9:14,11:15  -  11:29,12:15  -  12:29,14:30  -  14:44,14:45  -  14:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
9:00  -  9:14,135046403,Central,Kapiri Mposhi,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,K 850-K 1674,,19 – 24,"8:00  -  8:14,9:00  -  9:14,11:15  -  11:29,12:15  -  12:29,14:30  -  14:44,14:45  -  14:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
14:45  -  14:59,135046403,Central,Kapiri Mposhi,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,K 850-K 1674,,19 – 24,"8:00  -  8:14,9:00  -  9:14,11:15  -  11:29,12:15  -  12:29,14:30  -  14:44,14:45  -  14:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
9:15  -  9:29,135046399,Central,Kapiri Mposhi,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,K 850-K 1674,,25 – 34,"8:15  -  8:29,9:15  -  9:29,10:00  -  10:14,12:00  -  12:14,12:15  -  12:29,13:15  -  13:29,14:30  -  14:44,17:45  -  17:59,18:30  -  18:44,19:15  -  19:29,20:00  -  20:14,20:30  -  20:44,21:00  -  21:14,21:15  -  21:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
18:30  -  18:44,135046399,Central,Kapiri Mposhi,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,K 850-K 1674,,25 – 34,"8:15  -  8:29,9:15  -  9:29,10:00  -  10:14,12:00  -  12:14,12:15  -  12:29,13:15  -  13:29,14:30  -  14:44,17:45  -  17:59,18:30  -  18:44,19:15  -  19:29,20:00  -  20:14,20:30  -  20:44,21:00  -  21:14,21:15  -  21:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
12:00  -  12:14,135046399,Central,Kapiri Mposhi,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,K 850-K 1674,,25 – 34,"8:15  -  8:29,9:15  -  9:29,10:00  -  10:14,12:00  -  12:14,12:15  -  12:29,13:15  -  13:29,14:30  -  14:44,17:45  -  17:59,18:30  -  18:44,19:15  -  19:29,20:00  -  20:14,20:30  -  20:44,21:00  -  21:14,21:15  -  21:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
20:00  -  20:14,135046399,Central,Kapiri Mposhi,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,K 850-K 1674,,25 – 34,"8:15  -  8:29,9:15  -  9:29,10:00  -  10:14,12:00  -  12:14,12:15  -  12:29,13:15  -  13:29,14:30  -  14:44,17:45  -  17:59,18:30  -  18:44,19:15  -  19:29,20:00  -  20:14,20:30  -  20:44,21:00  -  21:14,21:15  -  21:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
21:00  -  21:14,135046399,Central,Kapiri Mposhi,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,K 850-K 1674,,25 – 34,"8:15  -  8:29,9:15  -  9:29,10:00  -  10:14,12:00  -  12:14,12:15  -  12:29,13:15  -  13:29,14:30  -  14:44,17:45  -  17:59,18:30  -  18:44,19:15  -  19:29,20:00  -  20:14,20:30  -  20:44,21:00  -  21:14,21:15  -  21:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
10:00  -  10:14,135046399,Central,Kapiri Mposhi,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,K 850-K 1674,,25 – 34,"8:15  -  8:29,9:15  -  9:29,10:00  -  10:14,12:00  -  12:14,12:15  -  12:29,13:15  -  13:29,14:30  -  14:44,17:45  -  17:59,18:30  -  18:44,19:15  -  19:29,20:00  -  20:14,20:30  -  20:44,21:00  -  21:14,21:15  -  21:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
12:15  -  12:29,135046399,Central,Kapiri Mposhi,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,K 850-K 1674,,25 – 34,"8:15  -  8:29,9:15  -  9:29,10:00  -  10:14,12:00  -  12:14,12:15  -  12:29,13:15  -  13:29,14:30  -  14:44,17:45  -  17:59,18:30  -  18:44,19:15  -  19:29,20:00  -  20:14,20:30  -  20:44,21:00  -  21:14,21:15  -  21:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
8:15  -  8:29,135046399,Central,Kapiri Mposhi,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,K 850-K 1674,,25 – 34,"8:15  -  8:29,9:15  -  9:29,10:00  -  10:14,12:00  -  12:14,12:15  -  12:29,13:15  -  13:29,14:30  -  14:44,17:45  -  17:59,18:30  -  18:44,19:15  -  19:29,20:00  -  20:14,20:30  -  20:44,21:00  -  21:14,21:15  -  21:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
13:15  -  13:29,135046399,Central,Kapiri Mposhi,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,K 850-K 1674,,25 – 34,"8:15  -  8:29,9:15  -  9:29,10:00  -  10:14,12:00  -  12:14,12:15  -  12:29,13:15  -  13:29,14:30  -  14:44,17:45  -  17:59,18:30  -  18:44,19:15  -  19:29,20:00  -  20:14,20:30  -  20:44,21:00  -  21:14,21:15  -  21:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
17:45  -  17:59,135046399,Central,Kapiri Mposhi,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,K 850-K 1674,,25 – 34,"8:15  -  8:29,9:15  -  9:29,10:00  -  10:14,12:00  -  12:14,12:15  -  12:29,13:15  -  13:29,14:30  -  14:44,17:45  -  17:59,18:30  -  18:44,19:15  -  19:29,20:00  -  20:14,20:30  -  20:44,21:00  -  21:14,21:15  -  21:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
19:15  -  19:29,135046399,Central,Kapiri Mposhi,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,K 850-K 1674,,25 – 34,"8:15  -  8:29,9:15  -  9:29,10:00  -  10:14,12:00  -  12:14,12:15  -  12:29,13:15  -  13:29,14:30  -  14:44,17:45  -  17:59,18:30  -  18:44,19:15  -  19:29,20:00  -  20:14,20:30  -  20:44,21:00  -  21:14,21:15  -  21:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
