,Radio Listeners (P7D - Past 7 Days) analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Radio Listenership,Radio Listenership - Mobile Phone,Radio Listeners (P7D - Past 7 Days)
1820,Radio Icengelo,60743764,Copperbelt,Mufulira,Rural,Female,1,None,C1,Some high school,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,Yesterday,Never,"Radio Icengelo,Radio Christian Voice"
1821,FLAVA FM,60743838,Copperbelt,Kitwe,Urban,Male,2,None,C1,Some university,Others,Student,C2,"K 2,500   -  K 3,154",Yes,15 – 18,Past 7 Days,Yesterday,FLAVA FM
1822,BBC,60743839,Copperbelt,Kitwe,Urban,Male,0,None,AB,Completed high School,Seventh Day Adventists,Student,C1,"K 2,500   -  K 3,154",Yes,25 – 34,Past 12 Months,Past 12 Months,BBC
1823,YAR FM,60743840,Copperbelt,Kitwe,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,Do not know,"K 5,365  -  K 6,102",Yes,25 – 34,Yesterday,Past 12 Months,"Radio Icengelo,YAR FM"
1824,Radio Icengelo,60743840,Copperbelt,Kitwe,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,Do not know,"K 5,365  -  K 6,102",Yes,25 – 34,Yesterday,Past 12 Months,"Radio Icengelo,YAR FM"
1825,Radio Maria,60744986,Eastern,Petauke,Rural,Female,1,None,D,Primary school completed,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,Yesterday,Never,"Radio Breeze FM,Radio Maria,Petauke Explorers,Radio 1"
1826,Radio Breeze FM,60744986,Eastern,Petauke,Rural,Female,1,None,D,Primary school completed,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,Yesterday,Never,"Radio Breeze FM,Radio Maria,Petauke Explorers,Radio 1"
1827,Petauke Explorers,60744986,Eastern,Petauke,Rural,Female,1,None,D,Primary school completed,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,Yesterday,Never,"Radio Breeze FM,Radio Maria,Petauke Explorers,Radio 1"
1828,Radio 1,60744986,Eastern,Petauke,Rural,Female,1,None,D,Primary school completed,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,Yesterday,Never,"Radio Breeze FM,Radio Maria,Petauke Explorers,Radio 1"
1829,Petauke Explorers,60744987,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Past 7 Days,"Petauke Explorers,Radio 1"
1830,Radio 1,60744987,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Past 7 Days,"Petauke Explorers,Radio 1"
1831,Sat,60745321,Copperbelt,Chilililabombwe,Rural,Male,1,None,C1,Completed high School,Others,Self employed,No Income,No Income,No,35 – 44,Yesterday,Past 4 Weeks,Sat
1832,Sun FM,60745322,Copperbelt,Chilililabombwe,Rural,Female,1,None,C1,Completed high School,Roman Catholic,Housewife,No Income,No Income,Yes,35 – 44,Yesterday,Yesterday,"Radio Icengelo,Sun FM"
1833,Radio Icengelo,60745322,Copperbelt,Chilililabombwe,Rural,Female,1,None,C1,Completed high School,Roman Catholic,Housewife,No Income,No Income,Yes,35 – 44,Yesterday,Yesterday,"Radio Icengelo,Sun FM"
1834,Sun FM,60745323,Copperbelt,Chilililabombwe,Rural,Male,1,None,C2,Some high school,Others,Student,No Income,No Income,No,19 – 24,Yesterday,Yesterday,Sun FM
1835,Sun FM,60745324,Copperbelt,Chilililabombwe,Rural,Female,1,None,C1,Completed high School,Others,Self employed,No Income,No Income,Yes,19 – 24,Yesterday,Never,Sun FM
1836,Sun FM,60745325,Copperbelt,Chilililabombwe,Rural,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Housewife,No Income,No Income,Yes,19 – 24,Yesterday,Never,Sun FM
1837,Jive,60745446,Copperbelt,Ndola,Urban,Male,1,One,C1,Completed high School,Others,Unemployed [NOT SEEKING A JOB],D,"K 1675- K2,499",Yes,19 – 24,Yesterday,Never,"Jive,Rise FM"
1838,Rise FM,60745446,Copperbelt,Ndola,Urban,Male,1,One,C1,Completed high School,Others,Unemployed [NOT SEEKING A JOB],D,"K 1675- K2,499",Yes,19 – 24,Yesterday,Never,"Jive,Rise FM"
1839,Radio Icengelo,60745447,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,19 – 24,Past 12 Months,Never,Radio Icengelo
1840,Sun FM,60745448,Copperbelt,Ndola,Urban,Female,0,None,C2,Completed high School,Others,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,19 – 24,Never,Never,"Radio Icengelo,Sun FM"
1841,Radio Icengelo,60745448,Copperbelt,Ndola,Urban,Female,0,None,C2,Completed high School,Others,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,19 – 24,Never,Never,"Radio Icengelo,Sun FM"
1842,FLAVA FM,60745449,Copperbelt,Ndola,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [NOT SEEKING A JOB],C2,Under K 849,No,19 – 24,Yesterday,Past 12 Months,"FLAVA FM,Jive"
1843,Jive,60745449,Copperbelt,Ndola,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [NOT SEEKING A JOB],C2,Under K 849,No,19 – 24,Yesterday,Past 12 Months,"FLAVA FM,Jive"
1844,Chimwemwe,60745450,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,45+,Yesterday,Past 7 Days,"Chimwemwe,Phoenix FM,Radio Christian Voice"
1845,Phoenix FM,60745450,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,45+,Yesterday,Past 7 Days,"Chimwemwe,Phoenix FM,Radio Christian Voice"
1846,Radio Christian Voice,60745450,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,45+,Yesterday,Past 7 Days,"Chimwemwe,Phoenix FM,Radio Christian Voice"
1847,Radio Icengelo,60745451,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Others,Housewife,D,K 850-K 1674,Yes,25 – 34,Yesterday,Yesterday,Radio Icengelo
1848,QFM,60745881,Central,Chibombo,Urban,Female,1,None,C2,Some primary school,Other Christian,Unemployed [SEEKING A JOB],D,K 850-K 1674,Yes,25 – 34,Yesterday,Yesterday,"QFM,"
1849,Phoenix FM,60745882,Central,Chibombo,Urban,Female,1,One,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,19 – 24,Past 4 Weeks,Never,Phoenix FM
1850,Phoenix FM,60745883,Central,Chibombo,Urban,Male,1,None,C2,Primary school completed,Anglican/Protestant,Working Full-Time,C2,"K 1675- K2,499",Yes,35 – 44,Past 7 Days,Past 4 Weeks,"Phoenix FM,Radio 1"
1851,Radio 1,60745883,Central,Chibombo,Urban,Male,1,None,C2,Primary school completed,Anglican/Protestant,Working Full-Time,C2,"K 1675- K2,499",Yes,35 – 44,Past 7 Days,Past 4 Weeks,"Phoenix FM,Radio 1"
1852,Radio 2,60745884,Central,Chibombo,Urban,Male,1,None,AB,Completed high School,Other Christian,Student,C1,Under K 849,Yes,19 – 24,Past 7 Days,Past 7 Days,Radio 2
1853,Radio 2,60746449,Copperbelt,Mufulira,Rural,Male,1,None,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,19 – 24,Past 7 Days,Past 7 Days,Radio 2
1854,Radio 1,60746542,Copperbelt,Kitwe,Rural,Male,3,None,C2,Completed high School,Orthodox,Working Full-Time,D,"K 5,365  -  K 6,102",Yes,25 – 34,Past 7 Days,Never,Radio 1
1855,Sat,60747275,Copperbelt,Chilililabombwe,Rural,Female,1,None,C1,Primary school completed,Others,Housewife,No Income,No Income,Yes,25 – 34,Yesterday,Yesterday,Sat
1856,YAR FM,60747296,Copperbelt,Kitwe,Rural,Male,1,One,C1,Completed high School,Others,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,25 – 34,Yesterday,Never,"Radio Icengelo,YAR FM"
1857,Radio Icengelo,60747296,Copperbelt,Kitwe,Rural,Male,1,One,C1,Completed high School,Others,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,25 – 34,Yesterday,Never,"Radio Icengelo,YAR FM"
1858,BBC,60748701,Southern,Mazabuka,Rural,Male,1,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,Yesterday,Past 7 Days,"BBC,Radio Mazabuka,Parliament,Radio 1,Radio 2,Radio 2, BYTA FM"
1859,Radio Mazabuka,60748701,Southern,Mazabuka,Rural,Male,1,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,Yesterday,Past 7 Days,"BBC,Radio Mazabuka,Parliament,Radio 1,Radio 2,Radio 2, BYTA FM"
1860,BYTA FM,60748701,Southern,Mazabuka,Rural,Male,1,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,Yesterday,Past 7 Days,"BBC,Radio Mazabuka,Parliament,Radio 1,Radio 2,Radio 2, BYTA FM"
1861,Parliament,60748701,Southern,Mazabuka,Rural,Male,1,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,Yesterday,Past 7 Days,"BBC,Radio Mazabuka,Parliament,Radio 1,Radio 2,Radio 2, BYTA FM"
1862,Radio 2,60748701,Southern,Mazabuka,Rural,Male,1,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,Yesterday,Past 7 Days,"BBC,Radio Mazabuka,Parliament,Radio 1,Radio 2,Radio 2, BYTA FM"
1863,Radio 1,60748701,Southern,Mazabuka,Rural,Male,1,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,Yesterday,Past 7 Days,"BBC,Radio Mazabuka,Parliament,Radio 1,Radio 2,Radio 2, BYTA FM"
1864,Radio Mazabuka,60748703,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,25 – 34,Yesterday,Yesterday,"Radio Mazabuka,Radio 1"
1865,Radio 1,60748703,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,25 – 34,Yesterday,Yesterday,"Radio Mazabuka,Radio 1"
1866,Radio Mazabuka,60748704,Southern,Mazabuka,Rural,Male,1,None,D,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,19 – 24,Yesterday,Past 12 Months,"Radio Mazabuka,Radio 1"
1867,Radio 1,60748704,Southern,Mazabuka,Rural,Male,1,None,D,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,19 – 24,Yesterday,Past 12 Months,"Radio Mazabuka,Radio 1"
1868,Radio 2,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,Yesterday,Never,"Radio Mazabuka,Radio 2,Radio 4,"
1869,Radio 4,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,Yesterday,Never,"Radio Mazabuka,Radio 2,Radio 4,"
1870,Radio Mazabuka,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,Yesterday,Never,"Radio Mazabuka,Radio 2,Radio 4,"
1871,Radio Mazabuka,60748706,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Refused (DON’T READ),Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,45+,Yesterday,Past 12 Months,Radio Mazabuka
1872,BBC,60748707,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,Yesterday,Yesterday,"BBC,Radio Mazabuka,Radio 1,Radio 4,Radio Christian Voice"
1873,Radio Mazabuka,60748707,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,Yesterday,Yesterday,"BBC,Radio Mazabuka,Radio 1,Radio 4,Radio Christian Voice"
1874,Radio 4,60748707,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,Yesterday,Yesterday,"BBC,Radio Mazabuka,Radio 1,Radio 4,Radio Christian Voice"
1875,Radio Christian Voice,60748707,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,Yesterday,Yesterday,"BBC,Radio Mazabuka,Radio 1,Radio 4,Radio Christian Voice"
1876,Radio 1,60748707,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,Yesterday,Yesterday,"BBC,Radio Mazabuka,Radio 1,Radio 4,Radio Christian Voice"
1877,Radio 1,60748708,Southern,Mazabuka,Rural,Male,0,None,D,Some primary school,Seventh Day Adventists,Retired - voluntary scholarspensioners,D,Under K 849,Yes,45+,Past 4 Weeks,Never,Radio 1
1878,Radio 2,60748710,Southern,Mazabuka,Rural,Male,0,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,Yesterday,Yesterday,"Radio Mazabuka,Radio 1,Radio 2,Radio 4,"
1879,Radio 4,60748710,Southern,Mazabuka,Rural,Male,0,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,Yesterday,Yesterday,"Radio Mazabuka,Radio 1,Radio 2,Radio 4,"
1880,Radio Mazabuka,60748710,Southern,Mazabuka,Rural,Male,0,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,Yesterday,Yesterday,"Radio Mazabuka,Radio 1,Radio 2,Radio 4,"
1881,Radio 1,60748710,Southern,Mazabuka,Rural,Male,0,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,Yesterday,Yesterday,"Radio Mazabuka,Radio 1,Radio 2,Radio 4,"
1882,Radio Mazabuka,60748712,Southern,Mazabuka,Rural,Female,1,None,D,Some primary school,Seventh Day Adventists,Housewife,D,Under K 849,Yes,45+,Yesterday,Never,"Radio Mazabuka,Radio 1"
1883,Radio 1,60748712,Southern,Mazabuka,Rural,Female,1,None,D,Some primary school,Seventh Day Adventists,Housewife,D,Under K 849,Yes,45+,Yesterday,Never,"Radio Mazabuka,Radio 1"
1884,Kokoliko,60748992,Copperbelt,Mufulira,Rural,Male,2,None,C1,Don’t know (DON’T READ),Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,25 – 34,Yesterday,Yesterday,"Radio Icengelo,Kokoliko"
1885,Radio Icengelo,60748992,Copperbelt,Mufulira,Rural,Male,2,None,C1,Don’t know (DON’T READ),Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,25 – 34,Yesterday,Yesterday,"Radio Icengelo,Kokoliko"
1886,Radio Icengelo,60749180,Copperbelt,Mufulira,Rural,Male,0,None,C1,Some high school,Other Christian,Unemployed [SEEKING A JOB],Do not know,Do not know,No,19 – 24,Yesterday,Yesterday,"Radio Icengelo,Radio 1 "
1887,Radio 1,60749180,Copperbelt,Mufulira,Rural,Male,0,None,C1,Some high school,Other Christian,Unemployed [SEEKING A JOB],Do not know,Do not know,No,19 – 24,Yesterday,Yesterday,"Radio Icengelo,Radio 1 "
1888,YAR FM,60749457,Copperbelt,Kitwe,Urban,Male,1,None,C1,Some high school,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24,Past 12 Months,Past 12 Months,"Radio Icengelo,YAR FM"
1889,Radio Icengelo,60749457,Copperbelt,Kitwe,Urban,Male,1,None,C1,Some high school,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24,Past 12 Months,Past 12 Months,"Radio Icengelo,YAR FM"
1890,Sun FM,60749750,Copperbelt,Chilililabombwe,Rural,Male,2,None,C2,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,Yesterday,Yesterday,"Radio Icengelo,Phoenix FM,Sun FM"
1891,Phoenix FM,60749750,Copperbelt,Chilililabombwe,Rural,Male,2,None,C2,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,Yesterday,Yesterday,"Radio Icengelo,Phoenix FM,Sun FM"
1892,Radio Icengelo,60749750,Copperbelt,Chilililabombwe,Rural,Male,2,None,C2,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,Yesterday,Yesterday,"Radio Icengelo,Phoenix FM,Sun FM"
1893,Sun FM,60750328,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Housewife,D,"K 1675- K2,499",Yes,19 – 24,Past 4 Weeks,Yesterday,"Chimwemwe,Jive,Radio Christian Voice,Sun FM"
1894,Chimwemwe,60750328,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Housewife,D,"K 1675- K2,499",Yes,19 – 24,Past 4 Weeks,Yesterday,"Chimwemwe,Jive,Radio Christian Voice,Sun FM"
1895,Radio Christian Voice,60750328,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Housewife,D,"K 1675- K2,499",Yes,19 – 24,Past 4 Weeks,Yesterday,"Chimwemwe,Jive,Radio Christian Voice,Sun FM"
1896,Jive,60750328,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Housewife,D,"K 1675- K2,499",Yes,19 – 24,Past 4 Weeks,Yesterday,"Chimwemwe,Jive,Radio Christian Voice,Sun FM"
1897,Radio 4,60750561,Copperbelt,Luanshya,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Self employed,C2,"K 1675- K2,499",Yes,35 – 44,Yesterday,Yesterday,"Radio 4,"
1898,Radio 2,60750569,Copperbelt,Luanshya,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Yesterday,"Radio Icengelo,Radio 1,Radio 2,"
1899,Radio Icengelo,60750569,Copperbelt,Luanshya,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Yesterday,"Radio Icengelo,Radio 1,Radio 2,"
1900,Radio 1,60750569,Copperbelt,Luanshya,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Yesterday,"Radio Icengelo,Radio 1,Radio 2,"
1901,Kokoliko,60751041,Copperbelt,Mufulira,Rural,Male,1,None,C2,Completed high School,Anglican/Protestant,Working Part-Time,Do not know,Do not know,Yes,19 – 24,Yesterday,Yesterday,Kokoliko
1902,Radio Maria,60751304,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,35 – 44,Past 7 Days,Past 4 Weeks,"Radio Maria,Petauke Explorers,Radio 1"
1903,Petauke Explorers,60751304,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,35 – 44,Past 7 Days,Past 4 Weeks,"Radio Maria,Petauke Explorers,Radio 1"
1904,Radio 1,60751304,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,35 – 44,Past 7 Days,Past 4 Weeks,"Radio Maria,Petauke Explorers,Radio 1"
1905,Radio Christian Voice,60752637,Lusaka,Kafue,Urban,Female,1,None,C1,Some high school,Other Christian,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,25 – 34,Yesterday,Yesterday,"Radio Christian Voice,Komboni Radio"
1906,Komboni Radio,60752637,Lusaka,Kafue,Urban,Female,1,None,C1,Some high school,Other Christian,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,25 – 34,Yesterday,Yesterday,"Radio Christian Voice,Komboni Radio"
1907,Millenium FM,60752638,Lusaka,Kafue,Urban,Male,1,None,C2,Completed high School,Other Christian,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,19 – 24,Yesterday,Past 7 Days,Millenium FM
1908,Radio 1,60752639,Lusaka,Kafue,Urban,Female,1,None,C1,Primary school completed,Seventh Day Adventists,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,45+,Past 12 Months,Never,Radio 1
1909,QFM,60752640,Lusaka,Kafue,Urban,Female,1,One,C1,Completed high School,Other Christian,Working Part-Time,D,"K 1675- K2,499",Yes,35 – 44,Past 4 Weeks,Never,QFM
1910,BBC,60752641,Lusaka,Kafue,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,25 – 34,Past 4 Weeks,Never,BBC
1911,Christian Voice,60752642,Lusaka,Kafue,Urban,Female,1,None,C1,Completed high School,Other Christian,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,45+,Past 12 Months,Never,Christian Voice
1912,Yangeni FM,60752643,Lusaka,Kafue,Urban,Female,1,One,AB,Completed high School,Roman Catholic,Working Full-Time,C2,No Income,Yes,25 – 34,Past 4 Weeks,Never,"Komboni Radio,Yatsani,Yangeni FM"
1913,Yatsani,60752643,Lusaka,Kafue,Urban,Female,1,One,AB,Completed high School,Roman Catholic,Working Full-Time,C2,No Income,Yes,25 – 34,Past 4 Weeks,Never,"Komboni Radio,Yatsani,Yangeni FM"
1914,Komboni Radio,60752643,Lusaka,Kafue,Urban,Female,1,One,AB,Completed high School,Roman Catholic,Working Full-Time,C2,No Income,Yes,25 – 34,Past 4 Weeks,Never,"Komboni Radio,Yatsani,Yangeni FM"
1915,Komboni Radio,60752644,Lusaka,Kafue,Urban,Male,1,None,C1,Completed high School,Other Christian,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,25 – 34,Past 4 Weeks,Never,Komboni Radio
1916,Komboni Radio,60752645,Lusaka,Kafue,Urban,Male,1,One,C1,Some high school,Other Christian,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,19 – 24,Past 7 Days,Never,Komboni Radio
1917,Kokoliko,60753398,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Roman Catholic,Housewife,D,Under K 849,No,35 – 44,Past 4 Weeks,Past 7 Days,"Radio Icengelo,Kokoliko"
1918,Radio Icengelo,60753398,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Roman Catholic,Housewife,D,Under K 849,No,35 – 44,Past 4 Weeks,Past 7 Days,"Radio Icengelo,Kokoliko"
1919,Rise FM,60753399,Copperbelt,Chingola,Rural,Female,0,None,D,Some primary school,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,Past 7 Days,Past 4 Weeks,Rise FM
1920,Kokoliko,60753402,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Other Christian,Housewife,Do not know,Under K 849,Yes,25 – 34,Yesterday,Past 7 Days,"Radio Icengelo,Iwave,Kokoliko"
1921,Iwave,60753402,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Other Christian,Housewife,Do not know,Under K 849,Yes,25 – 34,Yesterday,Past 7 Days,"Radio Icengelo,Iwave,Kokoliko"
1922,Radio Icengelo,60753402,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Other Christian,Housewife,Do not know,Under K 849,Yes,25 – 34,Yesterday,Past 7 Days,"Radio Icengelo,Iwave,Kokoliko"
1923,Rise FM,60753404,Copperbelt,Chingola,Rural,Male,1,None,D,Primary school completed,Roman Catholic,Student,Do not know,Under K 849,No,19 – 24,Past 7 Days,Past 12 Months,Rise FM
1924,Rise FM,60753405,Copperbelt,Chingola,Rural,Female,2,None,C2,Some primary school,Roman Catholic,Housewife,Do not know,Do not know,No,45+,Yesterday,Past 4 Weeks,Rise FM
1925,Iwave,60753407,Copperbelt,Chingola,Rural,Male,2,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,45+,Yesterday,Past 7 Days,"Radio Icengelo,Iwave"
1926,Radio Icengelo,60753407,Copperbelt,Chingola,Rural,Male,2,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,45+,Yesterday,Past 7 Days,"Radio Icengelo,Iwave"
1927,Isoka,60753952,Muchinga,Nakonde,Rural,Male,1,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,Past 7 Days,Past 4 Weeks,"Isoka,Radio 1"
1928,Radio 1,60753952,Muchinga,Nakonde,Rural,Male,1,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,Past 7 Days,Past 4 Weeks,"Isoka,Radio 1"
1929,Radio 1,60753953,Muchinga,Nakonde,Rural,Female,1,None,D,Some primary school,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,25 – 34,Past 12 Months,Past 7 Days,Radio 1
1930,Isoka,60753954,Muchinga,Nakonde,Rural,Male,1,None,C2,Some primary school,Other Christian,Unemployed [NOT SEEKING A JOB],D,K 850-K 1674,Yes,25 – 34,Yesterday,Yesterday,"Isoka,Radio 1,"
1931,Radio 1,60753954,Muchinga,Nakonde,Rural,Male,1,None,C2,Some primary school,Other Christian,Unemployed [NOT SEEKING A JOB],D,K 850-K 1674,Yes,25 – 34,Yesterday,Yesterday,"Isoka,Radio 1,"
1932,Radio 1,60753955,Muchinga,Nakonde,Rural,Male,2,None,C2,Some primary school,Anglican/Protestant,Self employed,D,Under K 849,No,35 – 44,Past 7 Days,Past 7 Days,"Radio 1,Radio 1"
1933,Radio 1,60753956,Muchinga,Nakonde,Rural,Female,0,None,C2,No formal education,Other Christian,Housewife,D,Under K 849,Yes,25 – 34,Past 7 Days,Past 7 Days,Radio 1
1934,Radio 2,60753957,Muchinga,Nakonde,Rural,Male,0,None,C2,Primary school completed,Other Christian,Working Part-Time,D,K 850-K 1674,Yes,19 – 24,Yesterday,Past 7 Days,"Radio 1,Radio 2"
1935,Radio 1,60753957,Muchinga,Nakonde,Rural,Male,0,None,C2,Primary school completed,Other Christian,Working Part-Time,D,K 850-K 1674,Yes,19 – 24,Yesterday,Past 7 Days,"Radio 1,Radio 2"
1936,Radio 2,60753958,Muchinga,Nakonde,Rural,Male,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,Yesterday,Yesterday,"Radio 1,Radio 2"
1937,Radio 1,60753958,Muchinga,Nakonde,Rural,Male,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,Yesterday,Yesterday,"Radio 1,Radio 2"
1938,Mosi--Tunya,60754077,Southern,Livingstone,Rural,Male,0,None,D,Primary school completed,Other Christian,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,19 – 24,Yesterday,Yesterday,"Falls,Mosi--Tunya"
1939,Falls,60754077,Southern,Livingstone,Rural,Male,0,None,D,Primary school completed,Other Christian,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,19 – 24,Yesterday,Yesterday,"Falls,Mosi--Tunya"
1940,Mosi--Tunya,60754078,Southern,Livingstone,Rural,Female,1,None,D,Primary school completed,Others,Housewife,D,Under K 849,No,25 – 34,Yesterday,Past 7 Days,"Mosi--Tunya,Zambezi FM"
