Petauke Explorers analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Petauke Explorers
8:00  -  8:14,60710946,Eastern,Petauke,Urban,Female,1,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,C2,Under K 849,Yes,19 – 24,",,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:45  -  9:59,,,,,"
8:30  -  8:44,60710946,Eastern,Petauke,Urban,Female,1,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,C2,Under K 849,Yes,19 – 24,",,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:45  -  9:59,,,,,"
19:45  -  19:59,60713934,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",No,19 – 24,",,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,"
19:15  -  19:29,60713934,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",No,19 – 24,",,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,"
19:00  -  19:14,60713934,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",No,19 – 24,",,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,"
19:30  -  19:44,60713934,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",No,19 – 24,",,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,"
20:15  -  20:29,60736738,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,19 – 24,",,23:30  -  23:44,23:45  -  23:59,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,"
20:00  -  20:14,60736738,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,19 – 24,",,23:30  -  23:44,23:45  -  23:59,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,"
23:30  -  23:44,60736738,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,19 – 24,",,23:30  -  23:44,23:45  -  23:59,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,"
20:45  -  20:59,60736738,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,19 – 24,",,23:30  -  23:44,23:45  -  23:59,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,"
20:30  -  20:44,60736738,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,19 – 24,",,23:30  -  23:44,23:45  -  23:59,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,"
23:45  -  23:59,60736738,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,19 – 24,",,23:30  -  23:44,23:45  -  23:59,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,"
18:00  -  18:14,60736739,Eastern,Petauke,Urban,Male,1,None,C1,Some high school,Other Christian,Student,C2,Under K 849,Yes,19 – 24,",,,18:00  -  18:14,20:00  -  20:14,,,,"
20:00  -  20:14,60736739,Eastern,Petauke,Urban,Male,1,None,C1,Some high school,Other Christian,Student,C2,Under K 849,Yes,19 – 24,",,,18:00  -  18:14,20:00  -  20:14,,,,"
9:30  -  9:44,60744986,Eastern,Petauke,Rural,Female,1,None,D,Primary school completed,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,,10:00  -  10:14,,,,,"
9:15  -  9:29,60744986,Eastern,Petauke,Rural,Female,1,None,D,Primary school completed,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,,10:00  -  10:14,,,,,"
9:00  -  9:14,60744986,Eastern,Petauke,Rural,Female,1,None,D,Primary school completed,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,,10:00  -  10:14,,,,,"
10:00  -  10:14,60744986,Eastern,Petauke,Rural,Female,1,None,D,Primary school completed,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,,10:00  -  10:14,,,,,"
6:30  -  6:44,60744987,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,25 – 34,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:45  -  7:59,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,,"
7:15  -  7:29,60744987,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,25 – 34,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:45  -  7:59,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,,"
7:45  -  7:59,60744987,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,25 – 34,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:45  -  7:59,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,,"
6:45  -  6:59,60744987,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,25 – 34,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:45  -  7:59,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,,"
10:00  -  10:14,60744987,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,25 – 34,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:45  -  7:59,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,,"
7:00  -  7:14,60744987,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,25 – 34,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:45  -  7:59,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,,"
10:15  -  10:29,60744987,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,25 – 34,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:45  -  7:59,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,,"
10:30  -  10:44,60744987,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,25 – 34,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:45  -  7:59,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,,"
6:15  -  6:29,60744987,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,25 – 34,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:45  -  7:59,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,,"
6:00  -  6:14,60744987,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,25 – 34,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:45  -  7:59,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,,"
10:45  -  10:59,60744987,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,25 – 34,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:45  -  7:59,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,,"
6:30  -  6:44,60751304,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,35 – 44,",,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,,,"
6:15  -  6:29,60751304,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,35 – 44,",,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,,,"
7:45  -  7:59,60751304,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,35 – 44,",,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,,,"
8:15  -  8:29,60751304,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,35 – 44,",,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,,,"
8:00  -  8:14,60751304,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,35 – 44,",,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,,,"
6:00  -  6:14,60751304,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,35 – 44,",,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,,,"
20:15  -  20:29,60760177,Eastern,Petauke,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,,7:00  -  7:14,7:15  -  7:29,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,,,"
7:15  -  7:29,60760177,Eastern,Petauke,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,,7:00  -  7:14,7:15  -  7:29,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,,,"
7:45  -  7:59,60760177,Eastern,Petauke,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,,7:00  -  7:14,7:15  -  7:29,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,,,"
7:30  -  7:44,60760177,Eastern,Petauke,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,,7:00  -  7:14,7:15  -  7:29,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,,,"
18:15  -  18:29,60760177,Eastern,Petauke,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,,7:00  -  7:14,7:15  -  7:29,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,,,"
18:30  -  18:44,60760177,Eastern,Petauke,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,,7:00  -  7:14,7:15  -  7:29,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,,,"
20:45  -  20:59,60760177,Eastern,Petauke,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,,7:00  -  7:14,7:15  -  7:29,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,,,"
18:45  -  18:59,60760177,Eastern,Petauke,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,,7:00  -  7:14,7:15  -  7:29,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,,,"
7:00  -  7:14,60760177,Eastern,Petauke,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,,7:00  -  7:14,7:15  -  7:29,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,,,"
20:30  -  20:44,60760177,Eastern,Petauke,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,,7:00  -  7:14,7:15  -  7:29,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,,,"
18:00  -  18:14,60760177,Eastern,Petauke,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,,7:00  -  7:14,7:15  -  7:29,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,,,"
8:45  -  8:59,60760178,Eastern,Petauke,Rural,Female,1,None,C1,Some university,Other Christian,Self employed,D,K 850-K 1674,Yes,25 – 34,",,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,"
8:15  -  8:29,60760178,Eastern,Petauke,Rural,Female,1,None,C1,Some university,Other Christian,Self employed,D,K 850-K 1674,Yes,25 – 34,",,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,"
10:00  -  10:14,60760178,Eastern,Petauke,Rural,Female,1,None,C1,Some university,Other Christian,Self employed,D,K 850-K 1674,Yes,25 – 34,",,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,"
10:15  -  10:29,60760178,Eastern,Petauke,Rural,Female,1,None,C1,Some university,Other Christian,Self employed,D,K 850-K 1674,Yes,25 – 34,",,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,"
10:30  -  10:44,60760178,Eastern,Petauke,Rural,Female,1,None,C1,Some university,Other Christian,Self employed,D,K 850-K 1674,Yes,25 – 34,",,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,"
8:00  -  8:14,60760178,Eastern,Petauke,Rural,Female,1,None,C1,Some university,Other Christian,Self employed,D,K 850-K 1674,Yes,25 – 34,",,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,"
10:45  -  10:59,60760178,Eastern,Petauke,Rural,Female,1,None,C1,Some university,Other Christian,Self employed,D,K 850-K 1674,Yes,25 – 34,",,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,"
8:30  -  8:44,60760178,Eastern,Petauke,Rural,Female,1,None,C1,Some university,Other Christian,Self employed,D,K 850-K 1674,Yes,25 – 34,",,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,"
20:15  -  20:29,60772562,Eastern,Petauke,Rural,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,,,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,"
20:00  -  20:14,60772562,Eastern,Petauke,Rural,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,,,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,"
10:00  -  10:14,60772562,Eastern,Petauke,Rural,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,,,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,"
20:45  -  20:59,60772562,Eastern,Petauke,Rural,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,,,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,"
20:30  -  20:44,60772562,Eastern,Petauke,Rural,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,,,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,"
10:15  -  10:29,60772562,Eastern,Petauke,Rural,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,,,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,"
10:30  -  10:44,60772562,Eastern,Petauke,Rural,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,,,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,"
23:30  -  23:44,60773866,Eastern,Petauke,Rural,Female,0,None,D,Some high school,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,,,,,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,,"
23:00  -  23:14,60773866,Eastern,Petauke,Rural,Female,0,None,D,Some high school,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,,,,,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,,"
23:45  -  23:59,60773866,Eastern,Petauke,Rural,Female,0,None,D,Some high school,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,,,,,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,,"
22:45  -  22:59,60773866,Eastern,Petauke,Rural,Female,0,None,D,Some high school,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,,,,,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,,"
15:00  -  15:14,60773866,Eastern,Petauke,Rural,Female,0,None,D,Some high school,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,,,,,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,,"
23:15  -  23:29,60773866,Eastern,Petauke,Rural,Female,0,None,D,Some high school,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,,,,,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,,"
15:45  -  15:59,60773866,Eastern,Petauke,Rural,Female,0,None,D,Some high school,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,,,,,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,,"
15:15  -  15:29,60773866,Eastern,Petauke,Rural,Female,0,None,D,Some high school,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,,,,,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,,"
15:30  -  15:44,60773866,Eastern,Petauke,Rural,Female,0,None,D,Some high school,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,,,,,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,,"
12:00  -  12:14,60832103,Eastern,Petauke,Rural,Female,1,None,D,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,15 – 18,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,,,,,,"
12:15  -  12:29,60832103,Eastern,Petauke,Rural,Female,1,None,D,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,15 – 18,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,,,,,,"
12:30  -  12:44,60832103,Eastern,Petauke,Rural,Female,1,None,D,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,15 – 18,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,,,,,,"
12:45  -  12:59,60832103,Eastern,Petauke,Rural,Female,1,None,D,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,15 – 18,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,,,,,,"
14:15  -  14:29,60832104,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,",,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,15:00  -  15:14,15:45  -  15:59,18:00  -  18:14,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,"
18:00  -  18:14,60832104,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,",,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,15:00  -  15:14,15:45  -  15:59,18:00  -  18:14,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,"
14:30  -  14:44,60832104,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,",,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,15:00  -  15:14,15:45  -  15:59,18:00  -  18:14,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,"
8:45  -  8:59,60832104,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,",,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,15:00  -  15:14,15:45  -  15:59,18:00  -  18:14,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,"
19:30  -  19:44,60832104,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,",,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,15:00  -  15:14,15:45  -  15:59,18:00  -  18:14,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,"
