Chimwemwe analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Chimwemwe
18:45  -  18:59,60641533,Copperbelt,Luanshya,Rural,Male,1,None,C2,Primary school completed,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,45+,",,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,"
6:15  -  6:29,60641533,Copperbelt,Luanshya,Rural,Male,1,None,C2,Primary school completed,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,45+,",,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,"
18:30  -  18:44,60641533,Copperbelt,Luanshya,Rural,Male,1,None,C2,Primary school completed,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,45+,",,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,"
20:45  -  20:59,60641533,Copperbelt,Luanshya,Rural,Male,1,None,C2,Primary school completed,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,45+,",,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,"
21:30  -  21:44,60641533,Copperbelt,Luanshya,Rural,Male,1,None,C2,Primary school completed,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,45+,",,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,"
8:00  -  8:14,60641533,Copperbelt,Luanshya,Rural,Male,1,None,C2,Primary school completed,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,45+,",,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,"
19:15  -  19:29,60641533,Copperbelt,Luanshya,Rural,Male,1,None,C2,Primary school completed,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,45+,",,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,"
9:00  -  9:14,60641533,Copperbelt,Luanshya,Rural,Male,1,None,C2,Primary school completed,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,45+,",,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,"
21:00  -  21:14,60641537,Copperbelt,Luanshya,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Student,D,"K 1675- K2,499",Yes,19 – 24,",,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,,,,,"
20:15  -  20:29,60641537,Copperbelt,Luanshya,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Student,D,"K 1675- K2,499",Yes,19 – 24,",,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,,,,,"
19:30  -  19:44,60641537,Copperbelt,Luanshya,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Student,D,"K 1675- K2,499",Yes,19 – 24,",,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,,,,,"
20:00  -  20:14,60641537,Copperbelt,Luanshya,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Student,D,"K 1675- K2,499",Yes,19 – 24,",,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,,,,,"
20:45  -  20:59,60641537,Copperbelt,Luanshya,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Student,D,"K 1675- K2,499",Yes,19 – 24,",,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,,,,,"
19:45  -  19:59,60641537,Copperbelt,Luanshya,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Student,D,"K 1675- K2,499",Yes,19 – 24,",,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,,,,,"
20:30  -  20:44,60641537,Copperbelt,Luanshya,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Student,D,"K 1675- K2,499",Yes,19 – 24,",,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,,,,,"
19:00  -  19:14,60641537,Copperbelt,Luanshya,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Student,D,"K 1675- K2,499",Yes,19 – 24,",,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,,,,,"
21:30  -  21:44,60641537,Copperbelt,Luanshya,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Student,D,"K 1675- K2,499",Yes,19 – 24,",,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,,,,,"
21:15  -  21:29,60641537,Copperbelt,Luanshya,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Student,D,"K 1675- K2,499",Yes,19 – 24,",,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,,,,,"
19:15  -  19:29,60641537,Copperbelt,Luanshya,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Student,D,"K 1675- K2,499",Yes,19 – 24,",,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,,,,,"
9:30  -  9:44,60666033,Copperbelt,Ndola,Urban,Female,2,None,AB,Some primary school,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,,,,,,"
9:15  -  9:29,60666033,Copperbelt,Ndola,Urban,Female,2,None,AB,Some primary school,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,,,,,,"
9:45  -  9:59,60666033,Copperbelt,Ndola,Urban,Female,2,None,AB,Some primary school,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,,,,,,"
9:00  -  9:14,60666033,Copperbelt,Ndola,Urban,Female,2,None,AB,Some primary school,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,,,,,,"
6:30  -  6:44,60668043,Copperbelt,Ndola,Urban,Female,2,None,C1,Completed high School,Seventh Day Adventists,Student,D,"K 1675- K2,499",Yes,19 – 24,",,,,,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,"
7:15  -  7:29,60668043,Copperbelt,Ndola,Urban,Female,2,None,C1,Completed high School,Seventh Day Adventists,Student,D,"K 1675- K2,499",Yes,19 – 24,",,,,,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,"
7:45  -  7:59,60668043,Copperbelt,Ndola,Urban,Female,2,None,C1,Completed high School,Seventh Day Adventists,Student,D,"K 1675- K2,499",Yes,19 – 24,",,,,,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,"
7:30  -  7:44,60668043,Copperbelt,Ndola,Urban,Female,2,None,C1,Completed high School,Seventh Day Adventists,Student,D,"K 1675- K2,499",Yes,19 – 24,",,,,,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,"
6:45  -  6:59,60668043,Copperbelt,Ndola,Urban,Female,2,None,C1,Completed high School,Seventh Day Adventists,Student,D,"K 1675- K2,499",Yes,19 – 24,",,,,,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,"
7:00  -  7:14,60668043,Copperbelt,Ndola,Urban,Female,2,None,C1,Completed high School,Seventh Day Adventists,Student,D,"K 1675- K2,499",Yes,19 – 24,",,,,,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,"
6:15  -  6:29,60668043,Copperbelt,Ndola,Urban,Female,2,None,C1,Completed high School,Seventh Day Adventists,Student,D,"K 1675- K2,499",Yes,19 – 24,",,,,,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,"
6:00  -  6:14,60668043,Copperbelt,Ndola,Urban,Female,2,None,C1,Completed high School,Seventh Day Adventists,Student,D,"K 1675- K2,499",Yes,19 – 24,",,,,,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,"
21:00  -  21:14,60672145,Copperbelt,Ndola,Rural,Male,1,None,C2,Some primary school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"21:00  -  21:14,21:30  -  21:44,21:45  -  21:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
0:30  -  0:44,60672145,Copperbelt,Ndola,Rural,Male,1,None,C2,Some primary school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"21:00  -  21:14,21:30  -  21:44,21:45  -  21:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
22:00  -  22:14,60672145,Copperbelt,Ndola,Rural,Male,1,None,C2,Some primary school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"21:00  -  21:14,21:30  -  21:44,21:45  -  21:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
20:15  -  20:29,60672145,Copperbelt,Ndola,Rural,Male,1,None,C2,Some primary school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"21:00  -  21:14,21:30  -  21:44,21:45  -  21:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
0:15  -  0:29,60672145,Copperbelt,Ndola,Rural,Male,1,None,C2,Some primary school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"21:00  -  21:14,21:30  -  21:44,21:45  -  21:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:45  -  21:59,60672145,Copperbelt,Ndola,Rural,Male,1,None,C2,Some primary school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"21:00  -  21:14,21:30  -  21:44,21:45  -  21:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
0:45  -  0:59,60672145,Copperbelt,Ndola,Rural,Male,1,None,C2,Some primary school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"21:00  -  21:14,21:30  -  21:44,21:45  -  21:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
20:00  -  20:14,60672145,Copperbelt,Ndola,Rural,Male,1,None,C2,Some primary school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"21:00  -  21:14,21:30  -  21:44,21:45  -  21:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
0:00  -  0:14,60672145,Copperbelt,Ndola,Rural,Male,1,None,C2,Some primary school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"21:00  -  21:14,21:30  -  21:44,21:45  -  21:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
22:30  -  22:44,60672145,Copperbelt,Ndola,Rural,Male,1,None,C2,Some primary school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"21:00  -  21:14,21:30  -  21:44,21:45  -  21:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
20:45  -  20:59,60672145,Copperbelt,Ndola,Rural,Male,1,None,C2,Some primary school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"21:00  -  21:14,21:30  -  21:44,21:45  -  21:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
22:45  -  22:59,60672145,Copperbelt,Ndola,Rural,Male,1,None,C2,Some primary school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"21:00  -  21:14,21:30  -  21:44,21:45  -  21:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
