Kwithu FM analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Kwithu FM
7:00  -  7:14,60607751,Northern,Kasama,Urban,Female,1,One,C1,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,,,,,,,"
6:15  -  6:29,60607751,Northern,Kasama,Urban,Female,1,One,C1,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,,,,,,,"
6:00  -  6:14,60607751,Northern,Kasama,Urban,Female,1,One,C1,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,,,,,,,"
6:00  -  6:14,60642684,Northern,Kasama,Rural,Female,0,None,C2,Completed high School,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,,,,,,"
6:45  -  6:59,60642684,Northern,Kasama,Rural,Female,0,None,C2,Completed high School,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,,,,,,"
6:30  -  6:44,60642684,Northern,Kasama,Rural,Female,0,None,C2,Completed high School,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,,,,,,"
6:15  -  6:29,60642684,Northern,Kasama,Rural,Female,0,None,C2,Completed high School,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,,,,,,"
12:00  -  12:14,60755122,Northern,Kasama,Rural,Female,1,None,C2,Some high school,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,25 – 34,",,,12:00  -  12:14,12:15  -  12:29,15:15  -  15:29,15:30  -  15:44,,,,"
15:30  -  15:44,60755122,Northern,Kasama,Rural,Female,1,None,C2,Some high school,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,25 – 34,",,,12:00  -  12:14,12:15  -  12:29,15:15  -  15:29,15:30  -  15:44,,,,"
15:15  -  15:29,60755122,Northern,Kasama,Rural,Female,1,None,C2,Some high school,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,25 – 34,",,,12:00  -  12:14,12:15  -  12:29,15:15  -  15:29,15:30  -  15:44,,,,"
12:15  -  12:29,60755122,Northern,Kasama,Rural,Female,1,None,C2,Some high school,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,25 – 34,",,,12:00  -  12:14,12:15  -  12:29,15:15  -  15:29,15:30  -  15:44,,,,"
9:30  -  9:44,60774041,Northern,Kasama,Rural,Female,0,None,C2,Some primary school,Other Christian,Housewife,Do not know,No Income,Yes,25 – 34,",,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,,,,"
9:45  -  9:59,60774041,Northern,Kasama,Rural,Female,0,None,C2,Some primary school,Other Christian,Housewife,Do not know,No Income,Yes,25 – 34,",,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,,,,"
7:45  -  7:59,60774041,Northern,Kasama,Rural,Female,0,None,C2,Some primary school,Other Christian,Housewife,Do not know,No Income,Yes,25 – 34,",,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,,,,"
8:15  -  8:29,60774041,Northern,Kasama,Rural,Female,0,None,C2,Some primary school,Other Christian,Housewife,Do not know,No Income,Yes,25 – 34,",,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,,,,"
9:15  -  9:29,60774041,Northern,Kasama,Rural,Female,0,None,C2,Some primary school,Other Christian,Housewife,Do not know,No Income,Yes,25 – 34,",,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,,,,"
8:00  -  8:14,60774041,Northern,Kasama,Rural,Female,0,None,C2,Some primary school,Other Christian,Housewife,Do not know,No Income,Yes,25 – 34,",,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,,,,"
9:00  -  9:14,60774041,Northern,Kasama,Rural,Female,0,None,C2,Some primary school,Other Christian,Housewife,Do not know,No Income,Yes,25 – 34,",,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,,,,"
8:30  -  8:44,60774041,Northern,Kasama,Rural,Female,0,None,C2,Some primary school,Other Christian,Housewife,Do not know,No Income,Yes,25 – 34,",,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,,,,"
15:45  -  15:59,60774044,Northern,Kasama,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"15:45  -  15:59,16:00  -  16:14,16:30  -  16:44,16:45  -  16:59,,,,,,,"
16:45  -  16:59,60774044,Northern,Kasama,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"15:45  -  15:59,16:00  -  16:14,16:30  -  16:44,16:45  -  16:59,,,,,,,"
16:00  -  16:14,60774044,Northern,Kasama,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"15:45  -  15:59,16:00  -  16:14,16:30  -  16:44,16:45  -  16:59,,,,,,,"
16:30  -  16:44,60774044,Northern,Kasama,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"15:45  -  15:59,16:00  -  16:14,16:30  -  16:44,16:45  -  16:59,,,,,,,"
7:15  -  7:29,60779670,Northern,Kasama,Rural,Female,0,None,C2,Primary school completed,Seventh Day Adventists,Housewife,Do not know,No Income,Yes,25 – 34,",7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,,,,,,"
8:15  -  8:29,60779670,Northern,Kasama,Rural,Female,0,None,C2,Primary school completed,Seventh Day Adventists,Housewife,Do not know,No Income,Yes,25 – 34,",7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,,,,,,"
7:45  -  7:59,60779670,Northern,Kasama,Rural,Female,0,None,C2,Primary school completed,Seventh Day Adventists,Housewife,Do not know,No Income,Yes,25 – 34,",7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,,,,,,"
7:30  -  7:44,60779670,Northern,Kasama,Rural,Female,0,None,C2,Primary school completed,Seventh Day Adventists,Housewife,Do not know,No Income,Yes,25 – 34,",7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,,,,,,"
8:00  -  8:14,60779670,Northern,Kasama,Rural,Female,0,None,C2,Primary school completed,Seventh Day Adventists,Housewife,Do not know,No Income,Yes,25 – 34,",7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,,,,,,"
8:45  -  8:59,60779672,Northern,Kasama,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:45  -  8:59,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:15  -  20:29,,,,,,"
19:30  -  19:44,60779672,Northern,Kasama,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:45  -  8:59,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:15  -  20:29,,,,,,"
20:15  -  20:29,60779672,Northern,Kasama,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:45  -  8:59,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:15  -  20:29,,,,,,"
7:15  -  7:29,60779672,Northern,Kasama,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:45  -  8:59,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:15  -  20:29,,,,,,"
7:45  -  7:59,60779672,Northern,Kasama,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:45  -  8:59,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:15  -  20:29,,,,,,"
8:15  -  8:29,60779672,Northern,Kasama,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:45  -  8:59,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:15  -  20:29,,,,,,"
7:30  -  7:44,60779672,Northern,Kasama,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:45  -  8:59,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:15  -  20:29,,,,,,"
18:45  -  18:59,60779672,Northern,Kasama,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:45  -  8:59,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:15  -  20:29,,,,,,"
7:00  -  7:14,60779672,Northern,Kasama,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:45  -  8:59,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:15  -  20:29,,,,,,"
19:45  -  19:59,60779672,Northern,Kasama,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:45  -  8:59,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:15  -  20:29,,,,,,"
19:00  -  19:14,60779672,Northern,Kasama,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:45  -  8:59,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:15  -  20:29,,,,,,"
8:00  -  8:14,60779672,Northern,Kasama,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:45  -  8:59,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:15  -  20:29,,,,,,"
19:15  -  19:29,60779672,Northern,Kasama,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:45  -  8:59,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:15  -  20:29,,,,,,"
12:45  -  12:59,60861541,Northern,Kasama,Urban,Female,1,One,C1,Any other post-high school qualification,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,25 – 34,",,,12:45  -  12:59,13:00  -  13:14,,,,"
13:00  -  13:14,60861541,Northern,Kasama,Urban,Female,1,One,C1,Any other post-high school qualification,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,25 – 34,",,,12:45  -  12:59,13:00  -  13:14,,,,"
14:30  -  14:44,60863463,Northern,Kasama,Rural,Female,0,None,C2,Primary school completed,Anglican/Protestant,Housewife,Do not know,Do not know,Yes,25 – 34,",,6:00  -  6:14,6:15  -  6:29,14:30  -  14:44,14:45  -  14:59,18:45  -  18:59,19:00  -  19:14,,,,,"
18:45  -  18:59,60863463,Northern,Kasama,Rural,Female,0,None,C2,Primary school completed,Anglican/Protestant,Housewife,Do not know,Do not know,Yes,25 – 34,",,6:00  -  6:14,6:15  -  6:29,14:30  -  14:44,14:45  -  14:59,18:45  -  18:59,19:00  -  19:14,,,,,"
14:45  -  14:59,60863463,Northern,Kasama,Rural,Female,0,None,C2,Primary school completed,Anglican/Protestant,Housewife,Do not know,Do not know,Yes,25 – 34,",,6:00  -  6:14,6:15  -  6:29,14:30  -  14:44,14:45  -  14:59,18:45  -  18:59,19:00  -  19:14,,,,,"
19:00  -  19:14,60863463,Northern,Kasama,Rural,Female,0,None,C2,Primary school completed,Anglican/Protestant,Housewife,Do not know,Do not know,Yes,25 – 34,",,6:00  -  6:14,6:15  -  6:29,14:30  -  14:44,14:45  -  14:59,18:45  -  18:59,19:00  -  19:14,,,,,"
6:15  -  6:29,60863463,Northern,Kasama,Rural,Female,0,None,C2,Primary school completed,Anglican/Protestant,Housewife,Do not know,Do not know,Yes,25 – 34,",,6:00  -  6:14,6:15  -  6:29,14:30  -  14:44,14:45  -  14:59,18:45  -  18:59,19:00  -  19:14,,,,,"
6:00  -  6:14,60863463,Northern,Kasama,Rural,Female,0,None,C2,Primary school completed,Anglican/Protestant,Housewife,Do not know,Do not know,Yes,25 – 34,",,6:00  -  6:14,6:15  -  6:29,14:30  -  14:44,14:45  -  14:59,18:45  -  18:59,19:00  -  19:14,,,,,"
6:30  -  6:44,60888451,Northern,Kasama,Rural,Female,0,None,C2,Primary school completed,Anglican/Protestant,Housewife,D,No Income,Yes,25 – 34,",,,,,6:15  -  6:29,6:30  -  6:44,,"
6:15  -  6:29,60888451,Northern,Kasama,Rural,Female,0,None,C2,Primary school completed,Anglican/Protestant,Housewife,D,No Income,Yes,25 – 34,",,,,,6:15  -  6:29,6:30  -  6:44,,"
7:15  -  7:29,60888452,Northern,Kasama,Rural,Male,0,None,C2,Some high school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,",6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,,,,,,"
7:00  -  7:14,60888452,Northern,Kasama,Rural,Male,0,None,C2,Some high school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,",6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,,,,,,"
6:45  -  6:59,60888452,Northern,Kasama,Rural,Male,0,None,C2,Some high school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,",6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,,,,,,"
