FCC Solwezi analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,FCC Solwezi
12:00  -  12:14,82180574,North-Western,Solwezi,Urban,Male,1,None,C1,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12:15  -  12:29,82180574,North-Western,Solwezi,Urban,Male,1,None,C1,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
9:15  -  9:29,82180574,North-Western,Solwezi,Urban,Male,1,None,C1,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12:30  -  12:44,82180574,North-Western,Solwezi,Urban,Male,1,None,C1,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12:45  -  12:59,82180574,North-Western,Solwezi,Urban,Male,1,None,C1,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
9:00  -  9:14,82180574,North-Western,Solwezi,Urban,Male,1,None,C1,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
17:00  -  17:14,82182736,North-Western,Solwezi,Urban,Male,0,None,C2,Some high school,Other Christian,Working Full-Time,C2,Under K 849,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
18:00  -  18:14,82182736,North-Western,Solwezi,Urban,Male,0,None,C2,Some high school,Other Christian,Working Full-Time,C2,Under K 849,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:30  -  17:44,82182736,North-Western,Solwezi,Urban,Male,0,None,C2,Some high school,Other Christian,Working Full-Time,C2,Under K 849,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:45  -  17:59,82182736,North-Western,Solwezi,Urban,Male,0,None,C2,Some high school,Other Christian,Working Full-Time,C2,Under K 849,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:15  -  17:29,82182736,North-Western,Solwezi,Urban,Male,0,None,C2,Some high school,Other Christian,Working Full-Time,C2,Under K 849,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
21:00  -  21:14,82191079,North-Western,Solwezi,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,19 – 24,"9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14"
9:30  -  9:44,82191079,North-Western,Solwezi,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,19 – 24,"9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14"
22:00  -  22:14,82191079,North-Western,Solwezi,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,19 – 24,"9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14"
20:15  -  20:29,82191079,North-Western,Solwezi,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,19 – 24,"9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14"
9:45  -  9:59,82191079,North-Western,Solwezi,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,19 – 24,"9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14"
20:00  -  20:14,82191079,North-Western,Solwezi,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,19 – 24,"9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14"
10:00  -  10:14,82191079,North-Western,Solwezi,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,19 – 24,"9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14"
20:30  -  20:44,82191079,North-Western,Solwezi,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,19 – 24,"9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,21:00  -  21:14,21:30  -  21:44,22:00  -  22:14"
