,Emmanuel TV  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Emmanuel TV  Thursday
110,8:15  -  8:29,82089608,Copperbelt,Ndola,Urban,Male,1,None,C1,Some university,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44"
111,12:15  -  12:29,82089608,Copperbelt,Ndola,Urban,Male,1,None,C1,Some university,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44"
112,9:45  -  9:59,82111077,North-Western,Solwezi,Urban,Female,1,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
113,9:15  -  9:29,82111077,North-Western,Solwezi,Urban,Female,1,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
114,9:30  -  9:44,82111077,North-Western,Solwezi,Urban,Female,1,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
115,7:30  -  7:44,82111077,North-Western,Solwezi,Urban,Female,1,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
116,9:00  -  9:14,82111077,North-Western,Solwezi,Urban,Female,1,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
117,8:15  -  8:29,82111077,North-Western,Solwezi,Urban,Female,1,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
118,8:00  -  8:14,82111077,North-Western,Solwezi,Urban,Female,1,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
119,7:45  -  7:59,82111077,North-Western,Solwezi,Urban,Female,1,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
120,10:00  -  10:14,82111077,North-Western,Solwezi,Urban,Female,1,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
121,8:45  -  8:59,82111077,North-Western,Solwezi,Urban,Female,1,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
122,8:30  -  8:44,82111077,North-Western,Solwezi,Urban,Female,1,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
123,14:00  -  14:14,82184233,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some primary school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,14:00  -  14:14
124,12:15  -  12:29,82191573,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some primary school,Other Christian,A business owner,C1,"K 3,891  -  K 4,627",Yes,35 – 44,12:15  -  12:29
125,12:00  -  12:14,82192495,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,Under K 849,No,25 – 34,"12:00  -  12:14,15:45  -  15:59"
126,15:45  -  15:59,82192495,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,Under K 849,No,25 – 34,"12:00  -  12:14,15:45  -  15:59"
127,12:30  -  12:44,82195184,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,19 – 24,12:30  -  12:44
128,17:45  -  17:59,82198882,Copperbelt,Kitwe,Urban,Male,1,None,C1,Some university,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,17:45  -  17:59
129,6:00  -  6:14,82203700,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some university,Other Christian,A housewife/househusband,C1,"K 1675- K2,499",Yes,25 – 34,6:00  -  6:14
130,10:00  -  10:14,82212291,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"10:00  -  10:14,12:00  -  12:14,13:00  -  13:14,17:15  -  17:29"
131,12:00  -  12:14,82212291,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"10:00  -  10:14,12:00  -  12:14,13:00  -  13:14,17:15  -  17:29"
132,17:15  -  17:29,82212291,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"10:00  -  10:14,12:00  -  12:14,13:00  -  13:14,17:15  -  17:29"
133,13:00  -  13:14,82212291,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"10:00  -  10:14,12:00  -  12:14,13:00  -  13:14,17:15  -  17:29"
134,11:15  -  11:29,82225751,Copperbelt,Ndola,Urban,Male,3,Two or More,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,11:15  -  11:29
135,12:00  -  12:14,82274453,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,25 – 34,12:00  -  12:14
136,5:15  -  5:29,82278491,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C1,"K 2,500   -  K 3,154",Yes,35 – 44,5:15  -  5:29
137,10:00  -  10:14,82281434,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A housewife/househusband,C1,"K 1675- K2,499",Yes,19 – 24,10:00  -  10:14
138,20:45  -  20:59,82286032,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,20:45  -  20:59
139,6:00  -  6:14,82366370,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,6:00  -  6:14
140,8:00  -  8:14,82369480,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,8:00  -  8:14
141,11:00  -  11:14,82370970,North-Western,Solwezi,Rural,Male,2,None,C1,Completed high School,Other Christian,A subsistence farmer/fisherman,C1,K 850-K 1674,Yes,35 – 44,"10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
142,10:15  -  10:29,82370970,North-Western,Solwezi,Rural,Male,2,None,C1,Completed high School,Other Christian,A subsistence farmer/fisherman,C1,K 850-K 1674,Yes,35 – 44,"10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
143,10:45  -  10:59,82370970,North-Western,Solwezi,Rural,Male,2,None,C1,Completed high School,Other Christian,A subsistence farmer/fisherman,C1,K 850-K 1674,Yes,35 – 44,"10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
144,10:30  -  10:44,82370970,North-Western,Solwezi,Rural,Male,2,None,C1,Completed high School,Other Christian,A subsistence farmer/fisherman,C1,K 850-K 1674,Yes,35 – 44,"10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
145,10:00  -  10:14,82372511,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A housewife/househusband,C1,"K 1675- K2,499",Yes,25 – 34,10:00  -  10:14
146,13:15  -  13:29,82382796,Copperbelt,Kitwe,Urban,Female,1,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 1675- K2,499",Yes,25 – 34,13:15  -  13:29
147,6:00  -  6:14,82459343,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,6:00  -  6:14
148,4:15  -  4:29,60528193,Eastern,Petauke,Urban,Male,0,None,C2,Some university,Other Christian,Retired - voluntary scholarspensioners,D,"K 1675- K2,499",No,45+,"4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,8:30  -  8:44,8:45  -  8:59"
149,4:45  -  4:59,60528193,Eastern,Petauke,Urban,Male,0,None,C2,Some university,Other Christian,Retired - voluntary scholarspensioners,D,"K 1675- K2,499",No,45+,"4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,8:30  -  8:44,8:45  -  8:59"
150,4:30  -  4:44,60528193,Eastern,Petauke,Urban,Male,0,None,C2,Some university,Other Christian,Retired - voluntary scholarspensioners,D,"K 1675- K2,499",No,45+,"4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,8:30  -  8:44,8:45  -  8:59"
151,8:45  -  8:59,60528193,Eastern,Petauke,Urban,Male,0,None,C2,Some university,Other Christian,Retired - voluntary scholarspensioners,D,"K 1675- K2,499",No,45+,"4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,8:30  -  8:44,8:45  -  8:59"
152,5:00  -  5:14,60528193,Eastern,Petauke,Urban,Male,0,None,C2,Some university,Other Christian,Retired - voluntary scholarspensioners,D,"K 1675- K2,499",No,45+,"4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,8:30  -  8:44,8:45  -  8:59"
153,8:30  -  8:44,60528193,Eastern,Petauke,Urban,Male,0,None,C2,Some university,Other Christian,Retired - voluntary scholarspensioners,D,"K 1675- K2,499",No,45+,"4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,8:30  -  8:44,8:45  -  8:59"
154,8:00  -  8:14,82192494,Southern,Livingstone,Urban,Female,1,None,C2,Some university,Other Christian,A business owner,C2,K 850-K 1674,Yes,19 – 24,"8:00  -  8:14,15:00  -  15:14,16:00  -  16:14"
155,15:00  -  15:14,82192494,Southern,Livingstone,Urban,Female,1,None,C2,Some university,Other Christian,A business owner,C2,K 850-K 1674,Yes,19 – 24,"8:00  -  8:14,15:00  -  15:14,16:00  -  16:14"
156,16:00  -  16:14,82192494,Southern,Livingstone,Urban,Female,1,None,C2,Some university,Other Christian,A business owner,C2,K 850-K 1674,Yes,19 – 24,"8:00  -  8:14,15:00  -  15:14,16:00  -  16:14"
157,11:15  -  11:29,82197832,North-Western,Solwezi,Urban,Female,0,None,C2,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
158,10:45  -  10:59,82197832,North-Western,Solwezi,Urban,Female,0,None,C2,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
159,11:00  -  11:14,82197832,North-Western,Solwezi,Urban,Female,0,None,C2,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
160,11:30  -  11:44,82197832,North-Western,Solwezi,Urban,Female,0,None,C2,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
161,10:15  -  10:29,82197832,North-Western,Solwezi,Urban,Female,0,None,C2,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
162,11:45  -  11:59,82197832,North-Western,Solwezi,Urban,Female,0,None,C2,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
163,10:00  -  10:14,82197832,North-Western,Solwezi,Urban,Female,0,None,C2,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
164,10:30  -  10:44,82197832,North-Western,Solwezi,Urban,Female,0,None,C2,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
165,9:45  -  9:59,82213890,Eastern,Chipata,Urban,Male,0,None,C2,Some high school,Other Christian,Student,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
166,9:15  -  9:29,82213890,Eastern,Chipata,Urban,Male,0,None,C2,Some high school,Other Christian,Student,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
167,9:30  -  9:44,82213890,Eastern,Chipata,Urban,Male,0,None,C2,Some high school,Other Christian,Student,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
168,8:45  -  8:59,82213890,Eastern,Chipata,Urban,Male,0,None,C2,Some high school,Other Christian,Student,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
169,7:30  -  7:44,82213890,Eastern,Chipata,Urban,Male,0,None,C2,Some high school,Other Christian,Student,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
170,9:00  -  9:14,82213890,Eastern,Chipata,Urban,Male,0,None,C2,Some high school,Other Christian,Student,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
171,8:15  -  8:29,82213890,Eastern,Chipata,Urban,Male,0,None,C2,Some high school,Other Christian,Student,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
172,8:00  -  8:14,82213890,Eastern,Chipata,Urban,Male,0,None,C2,Some high school,Other Christian,Student,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
173,7:45  -  7:59,82213890,Eastern,Chipata,Urban,Male,0,None,C2,Some high school,Other Christian,Student,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
174,10:00  -  10:14,82213890,Eastern,Chipata,Urban,Male,0,None,C2,Some high school,Other Christian,Student,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
175,7:15  -  7:29,82213890,Eastern,Chipata,Urban,Male,0,None,C2,Some high school,Other Christian,Student,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
176,7:00  -  7:14,82213890,Eastern,Chipata,Urban,Male,0,None,C2,Some high school,Other Christian,Student,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
177,8:30  -  8:44,82213890,Eastern,Chipata,Urban,Male,0,None,C2,Some high school,Other Christian,Student,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
178,9:45  -  9:59,82267632,Copperbelt,Ndola,Urban,Male,2,Two or More,C2,Some university,Other Christian,Student,C2,Do not know,Yes,25 – 34,9:45  -  9:59
179,13:45  -  13:59,82283478,Eastern,Chipata,Rural,Female,1,None,C2,Primary school completed,Other Christian,A housewife/househusband,C2,K 850-K 1674,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:45  -  9:59,10:30  -  10:44,11:30  -  11:44,12:15  -  12:29,13:00  -  13:14,13:45  -  13:59,14:45  -  14:59,15:45  -  15:59,16:30  -  16:44,17:30  -  17:44"
180,6:00  -  6:14,82283478,Eastern,Chipata,Rural,Female,1,None,C2,Primary school completed,Other Christian,A housewife/househusband,C2,K 850-K 1674,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:45  -  9:59,10:30  -  10:44,11:30  -  11:44,12:15  -  12:29,13:00  -  13:14,13:45  -  13:59,14:45  -  14:59,15:45  -  15:59,16:30  -  16:44,17:30  -  17:44"
181,15:45  -  15:59,82283478,Eastern,Chipata,Rural,Female,1,None,C2,Primary school completed,Other Christian,A housewife/househusband,C2,K 850-K 1674,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:45  -  9:59,10:30  -  10:44,11:30  -  11:44,12:15  -  12:29,13:00  -  13:14,13:45  -  13:59,14:45  -  14:59,15:45  -  15:59,16:30  -  16:44,17:30  -  17:44"
182,13:00  -  13:14,82283478,Eastern,Chipata,Rural,Female,1,None,C2,Primary school completed,Other Christian,A housewife/househusband,C2,K 850-K 1674,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:45  -  9:59,10:30  -  10:44,11:30  -  11:44,12:15  -  12:29,13:00  -  13:14,13:45  -  13:59,14:45  -  14:59,15:45  -  15:59,16:30  -  16:44,17:30  -  17:44"
183,10:30  -  10:44,82283478,Eastern,Chipata,Rural,Female,1,None,C2,Primary school completed,Other Christian,A housewife/househusband,C2,K 850-K 1674,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:45  -  9:59,10:30  -  10:44,11:30  -  11:44,12:15  -  12:29,13:00  -  13:14,13:45  -  13:59,14:45  -  14:59,15:45  -  15:59,16:30  -  16:44,17:30  -  17:44"
184,9:45  -  9:59,82283478,Eastern,Chipata,Rural,Female,1,None,C2,Primary school completed,Other Christian,A housewife/househusband,C2,K 850-K 1674,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:45  -  9:59,10:30  -  10:44,11:30  -  11:44,12:15  -  12:29,13:00  -  13:14,13:45  -  13:59,14:45  -  14:59,15:45  -  15:59,16:30  -  16:44,17:30  -  17:44"
185,14:45  -  14:59,82283478,Eastern,Chipata,Rural,Female,1,None,C2,Primary school completed,Other Christian,A housewife/househusband,C2,K 850-K 1674,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:45  -  9:59,10:30  -  10:44,11:30  -  11:44,12:15  -  12:29,13:00  -  13:14,13:45  -  13:59,14:45  -  14:59,15:45  -  15:59,16:30  -  16:44,17:30  -  17:44"
186,7:30  -  7:44,82283478,Eastern,Chipata,Rural,Female,1,None,C2,Primary school completed,Other Christian,A housewife/househusband,C2,K 850-K 1674,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:45  -  9:59,10:30  -  10:44,11:30  -  11:44,12:15  -  12:29,13:00  -  13:14,13:45  -  13:59,14:45  -  14:59,15:45  -  15:59,16:30  -  16:44,17:30  -  17:44"
187,11:30  -  11:44,82283478,Eastern,Chipata,Rural,Female,1,None,C2,Primary school completed,Other Christian,A housewife/househusband,C2,K 850-K 1674,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:45  -  9:59,10:30  -  10:44,11:30  -  11:44,12:15  -  12:29,13:00  -  13:14,13:45  -  13:59,14:45  -  14:59,15:45  -  15:59,16:30  -  16:44,17:30  -  17:44"
188,7:00  -  7:14,82283478,Eastern,Chipata,Rural,Female,1,None,C2,Primary school completed,Other Christian,A housewife/househusband,C2,K 850-K 1674,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:45  -  9:59,10:30  -  10:44,11:30  -  11:44,12:15  -  12:29,13:00  -  13:14,13:45  -  13:59,14:45  -  14:59,15:45  -  15:59,16:30  -  16:44,17:30  -  17:44"
189,17:30  -  17:44,82283478,Eastern,Chipata,Rural,Female,1,None,C2,Primary school completed,Other Christian,A housewife/househusband,C2,K 850-K 1674,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:45  -  9:59,10:30  -  10:44,11:30  -  11:44,12:15  -  12:29,13:00  -  13:14,13:45  -  13:59,14:45  -  14:59,15:45  -  15:59,16:30  -  16:44,17:30  -  17:44"
