,African magic  Sunday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,African magic  Sunday
317,14:15  -  14:29,82267136,North-Western,Solwezi,Urban,Female,0,None,C1,Some high school,Other Christian,Self employed,C1,Under K 849,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,15:00  -  15:14"
318,14:00  -  14:14,82267136,North-Western,Solwezi,Urban,Female,0,None,C1,Some high school,Other Christian,Self employed,C1,Under K 849,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,15:00  -  15:14"
319,15:00  -  15:14,82267635,Copperbelt,Ndola,Urban,Male,2,Two or More,C1,Completed high School,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,25 – 34,15:00  -  15:14
320,7:45  -  7:59,82274453,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,25 – 34,7:45  -  7:59
321,9:00  -  9:14,82278491,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C1,"K 2,500   -  K 3,154",Yes,35 – 44,9:00  -  9:14
322,9:00  -  9:14,82281434,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A housewife/househusband,C1,"K 1675- K2,499",Yes,19 – 24,9:00  -  9:14
323,11:30  -  11:44,82286032,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,11:30  -  11:44
324,7:00  -  7:14,82287753,North-Western,Solwezi,Rural,Male,1,None,C1,Completed high School,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
325,6:15  -  6:29,82287753,North-Western,Solwezi,Rural,Male,1,None,C1,Completed high School,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
326,6:30  -  6:44,82287753,North-Western,Solwezi,Rural,Male,1,None,C1,Completed high School,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
327,6:00  -  6:14,82287753,North-Western,Solwezi,Rural,Male,1,None,C1,Completed high School,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
328,6:45  -  6:59,82287753,North-Western,Solwezi,Rural,Male,1,None,C1,Completed high School,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
329,6:00  -  6:14,82366370,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,"6:00  -  6:14,7:00  -  7:14"
330,7:00  -  7:14,82366370,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,"6:00  -  6:14,7:00  -  7:14"
331,7:00  -  7:14,82369480,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,7:00  -  7:14
332,14:15  -  14:29,82372511,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A housewife/househusband,C1,"K 1675- K2,499",Yes,25 – 34,14:15  -  14:29
333,7:45  -  7:59,82382796,Copperbelt,Kitwe,Urban,Female,1,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 1675- K2,499",Yes,25 – 34,7:45  -  7:59
334,20:00  -  20:14,82456633,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,25 – 34,20:00  -  20:14
335,15:00  -  15:14,82459343,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,15:00  -  15:14
336,12:00  -  12:14,82470054,Copperbelt,Ndola,Urban,Female,1,One,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,19 – 24,"12:00  -  12:14,14:45  -  14:59"
337,14:45  -  14:59,82470054,Copperbelt,Ndola,Urban,Female,1,One,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,19 – 24,"12:00  -  12:14,14:45  -  14:59"
338,17:15  -  17:29,82470055,Copperbelt,Ndola,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,"14:45  -  14:59,15:00  -  15:14,15:30  -  15:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
339,17:00  -  17:14,82470055,Copperbelt,Ndola,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,"14:45  -  14:59,15:00  -  15:14,15:30  -  15:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
340,18:00  -  18:14,82470055,Copperbelt,Ndola,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,"14:45  -  14:59,15:00  -  15:14,15:30  -  15:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
341,15:30  -  15:44,82470055,Copperbelt,Ndola,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,"14:45  -  14:59,15:00  -  15:14,15:30  -  15:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
342,15:00  -  15:14,82470055,Copperbelt,Ndola,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,"14:45  -  14:59,15:00  -  15:14,15:30  -  15:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
343,17:45  -  17:59,82470055,Copperbelt,Ndola,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,"14:45  -  14:59,15:00  -  15:14,15:30  -  15:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
344,17:30  -  17:44,82470055,Copperbelt,Ndola,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,"14:45  -  14:59,15:00  -  15:14,15:30  -  15:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
345,14:45  -  14:59,82470055,Copperbelt,Ndola,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,"14:45  -  14:59,15:00  -  15:14,15:30  -  15:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
346,13:00  -  13:14,82498314,Copperbelt,Ndola,Urban,Male,2,None,C1,Some high school,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,35 – 44,"10:30  -  10:44,13:00  -  13:14"
347,10:30  -  10:44,82498314,Copperbelt,Ndola,Urban,Male,2,None,C1,Some high school,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,35 – 44,"10:30  -  10:44,13:00  -  13:14"
348,14:00  -  14:14,82498315,Copperbelt,Ndola,Urban,Female,1,One,C1,Some primary school,Other Christian,A commercial farmer/fisherman,C1,Refusal [Do not show],Yes,19 – 24,"9:00  -  9:14,10:15  -  10:29,14:00  -  14:14"
349,9:00  -  9:14,82498315,Copperbelt,Ndola,Urban,Female,1,One,C1,Some primary school,Other Christian,A commercial farmer/fisherman,C1,Refusal [Do not show],Yes,19 – 24,"9:00  -  9:14,10:15  -  10:29,14:00  -  14:14"
350,10:15  -  10:29,82498315,Copperbelt,Ndola,Urban,Female,1,One,C1,Some primary school,Other Christian,A commercial farmer/fisherman,C1,Refusal [Do not show],Yes,19 – 24,"9:00  -  9:14,10:15  -  10:29,14:00  -  14:14"
351,15:00  -  15:14,82541841,Copperbelt,Ndola,Urban,Male,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
352,14:30  -  14:44,82541841,Copperbelt,Ndola,Urban,Male,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
353,14:45  -  14:59,82541841,Copperbelt,Ndola,Urban,Male,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
354,13:00  -  13:14,82543554,Copperbelt,Ndola,Urban,Male,1,One,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44"
355,13:15  -  13:29,82543554,Copperbelt,Ndola,Urban,Male,1,One,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44"
356,13:30  -  13:44,82543554,Copperbelt,Ndola,Urban,Male,1,One,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44"
357,17:00  -  17:14,82628581,Copperbelt,Ndola,Urban,Female,1,Two or More,C1,Some university,Other Christian,Working Full-Time,C1,Refusal [Do not show],Yes,19 – 24,"17:00  -  17:14,17:30  -  17:44,18:30  -  18:44"
358,18:30  -  18:44,82628581,Copperbelt,Ndola,Urban,Female,1,Two or More,C1,Some university,Other Christian,Working Full-Time,C1,Refusal [Do not show],Yes,19 – 24,"17:00  -  17:14,17:30  -  17:44,18:30  -  18:44"
359,17:30  -  17:44,82628581,Copperbelt,Ndola,Urban,Female,1,Two or More,C1,Some university,Other Christian,Working Full-Time,C1,Refusal [Do not show],Yes,19 – 24,"17:00  -  17:14,17:30  -  17:44,18:30  -  18:44"
360,19:00  -  19:14,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
361,18:45  -  18:59,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
362,18:15  -  18:29,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
363,18:00  -  18:14,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
364,18:30  -  18:44,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
365,18:00  -  18:14,60685301,Lusaka,Kafue,Rural,Male,3,None,C2,Some high school,Roman Catholic,Refused/ don’t know (DON’T READ),D,Under K 849,Yes,19 – 24,"18:00  -  18:14,20:00  -  20:14,21:15  -  21:29"
366,20:00  -  20:14,60685301,Lusaka,Kafue,Rural,Male,3,None,C2,Some high school,Roman Catholic,Refused/ don’t know (DON’T READ),D,Under K 849,Yes,19 – 24,"18:00  -  18:14,20:00  -  20:14,21:15  -  21:29"
367,21:15  -  21:29,60685301,Lusaka,Kafue,Rural,Male,3,None,C2,Some high school,Roman Catholic,Refused/ don’t know (DON’T READ),D,Under K 849,Yes,19 – 24,"18:00  -  18:14,20:00  -  20:14,21:15  -  21:29"
368,17:00  -  17:14,60726252,Lusaka,Kafue,Rural,Male,1,None,C2,Some high school,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"10:00  -  10:14,16:00  -  16:14,17:00  -  17:14"
369,16:00  -  16:14,60726252,Lusaka,Kafue,Rural,Male,1,None,C2,Some high school,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"10:00  -  10:14,16:00  -  16:14,17:00  -  17:14"
370,10:00  -  10:14,60726252,Lusaka,Kafue,Rural,Male,1,None,C2,Some high school,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"10:00  -  10:14,16:00  -  16:14,17:00  -  17:14"
371,8:30  -  8:44,60745445,Copperbelt,Ndola,Urban,Female,1,One,C2,Any other post-high school qualification,Seventh Day Adventists,Housewife,C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
372,9:30  -  9:44,60745445,Copperbelt,Ndola,Urban,Female,1,One,C2,Any other post-high school qualification,Seventh Day Adventists,Housewife,C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
373,6:15  -  6:29,60745445,Copperbelt,Ndola,Urban,Female,1,One,C2,Any other post-high school qualification,Seventh Day Adventists,Housewife,C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
374,7:15  -  7:29,60745445,Copperbelt,Ndola,Urban,Female,1,One,C2,Any other post-high school qualification,Seventh Day Adventists,Housewife,C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
375,10:45  -  10:59,60745445,Copperbelt,Ndola,Urban,Female,1,One,C2,Any other post-high school qualification,Seventh Day Adventists,Housewife,C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
376,7:45  -  7:59,60745445,Copperbelt,Ndola,Urban,Female,1,One,C2,Any other post-high school qualification,Seventh Day Adventists,Housewife,C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
377,9:00  -  9:14,60745445,Copperbelt,Ndola,Urban,Female,1,One,C2,Any other post-high school qualification,Seventh Day Adventists,Housewife,C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
378,9:45  -  9:59,60745445,Copperbelt,Ndola,Urban,Female,1,One,C2,Any other post-high school qualification,Seventh Day Adventists,Housewife,C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
379,6:30  -  6:44,60745445,Copperbelt,Ndola,Urban,Female,1,One,C2,Any other post-high school qualification,Seventh Day Adventists,Housewife,C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
380,6:00  -  6:14,60745445,Copperbelt,Ndola,Urban,Female,1,One,C2,Any other post-high school qualification,Seventh Day Adventists,Housewife,C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
381,6:45  -  6:59,60745445,Copperbelt,Ndola,Urban,Female,1,One,C2,Any other post-high school qualification,Seventh Day Adventists,Housewife,C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
382,10:15  -  10:29,60745445,Copperbelt,Ndola,Urban,Female,1,One,C2,Any other post-high school qualification,Seventh Day Adventists,Housewife,C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
383,8:00  -  8:14,60745445,Copperbelt,Ndola,Urban,Female,1,One,C2,Any other post-high school qualification,Seventh Day Adventists,Housewife,C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
384,9:15  -  9:29,60745445,Copperbelt,Ndola,Urban,Female,1,One,C2,Any other post-high school qualification,Seventh Day Adventists,Housewife,C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
385,10:00  -  10:14,60745445,Copperbelt,Ndola,Urban,Female,1,One,C2,Any other post-high school qualification,Seventh Day Adventists,Housewife,C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
386,8:15  -  8:29,60745445,Copperbelt,Ndola,Urban,Female,1,One,C2,Any other post-high school qualification,Seventh Day Adventists,Housewife,C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
387,7:00  -  7:14,60745445,Copperbelt,Ndola,Urban,Female,1,One,C2,Any other post-high school qualification,Seventh Day Adventists,Housewife,C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
388,10:30  -  10:44,60745445,Copperbelt,Ndola,Urban,Female,1,One,C2,Any other post-high school qualification,Seventh Day Adventists,Housewife,C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
389,7:30  -  7:44,60745445,Copperbelt,Ndola,Urban,Female,1,One,C2,Any other post-high school qualification,Seventh Day Adventists,Housewife,C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
390,8:45  -  8:59,60745445,Copperbelt,Ndola,Urban,Female,1,One,C2,Any other post-high school qualification,Seventh Day Adventists,Housewife,C2,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
391,19:00  -  19:14,82033095,Eastern,Chipata,Rural,Female,0,None,C2,Completed high School,Other Christian,Other (specify),C2,Under K 849,No,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
392,19:45  -  19:59,82033095,Eastern,Chipata,Rural,Female,0,None,C2,Completed high School,Other Christian,Other (specify),C2,Under K 849,No,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
393,19:15  -  19:29,82033095,Eastern,Chipata,Rural,Female,0,None,C2,Completed high School,Other Christian,Other (specify),C2,Under K 849,No,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
394,20:00  -  20:14,82033095,Eastern,Chipata,Rural,Female,0,None,C2,Completed high School,Other Christian,Other (specify),C2,Under K 849,No,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
395,19:30  -  19:44,82033095,Eastern,Chipata,Rural,Female,0,None,C2,Completed high School,Other Christian,Other (specify),C2,Under K 849,No,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
396,8:15  -  8:29,82117687,Eastern,Chipata,Urban,Male,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Do not know,No,35 – 44,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
397,8:00  -  8:14,82117687,Eastern,Chipata,Urban,Male,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Do not know,No,35 – 44,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
398,8:30  -  8:44,82117687,Eastern,Chipata,Urban,Male,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Do not know,No,35 – 44,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
399,8:45  -  8:59,82117687,Eastern,Chipata,Urban,Male,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Do not know,No,35 – 44,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
400,19:00  -  19:14,82117690,Eastern,Chipata,Rural,Male,1,None,C2,Completed high School,Other Christian,Other (specify),C2,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
