,Al Jazeera  Tueday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Al Jazeera  Tueday
161,8:15  -  8:29,82456633,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,25 – 34,8:15  -  8:29
162,8:30  -  8:44,82532621,Copperbelt,Ndola,Urban,Male,2,One,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,35 – 44,8:30  -  8:44
163,6:00  -  6:14,82626335,Copperbelt,Ndola,Urban,Male,2,None,C1,Primary school completed,Other Christian,Student,C1,Refusal [Do not show],Yes,35 – 44,"6:00  -  6:14,8:00  -  8:14"
164,8:00  -  8:14,82626335,Copperbelt,Ndola,Urban,Male,2,None,C1,Primary school completed,Other Christian,Student,C1,Refusal [Do not show],Yes,35 – 44,"6:00  -  6:14,8:00  -  8:14"
165,20:30  -  20:44,60703098,Copperbelt,Kalulushi,Rural,Female,1,None,C2,Don’t know (DON’T READ),Other Christian,Housewife,D,Under K 849,Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
166,20:15  -  20:29,60703098,Copperbelt,Kalulushi,Rural,Female,1,None,C2,Don’t know (DON’T READ),Other Christian,Housewife,D,Under K 849,Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
167,20:00  -  20:14,60703098,Copperbelt,Kalulushi,Rural,Female,1,None,C2,Don’t know (DON’T READ),Other Christian,Housewife,D,Under K 849,Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
168,10:45  -  10:59,82117687,Eastern,Chipata,Urban,Male,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Do not know,No,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
169,10:00  -  10:14,82117687,Eastern,Chipata,Urban,Male,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Do not know,No,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
170,10:30  -  10:44,82117687,Eastern,Chipata,Urban,Male,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Do not know,No,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
171,10:15  -  10:29,82117687,Eastern,Chipata,Urban,Male,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Do not know,No,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
172,7:00  -  7:14,82210553,Eastern,Chipata,Rural,Female,1,None,C2,Completed high School,Other Christian,Other (specify),C2,"K 3,155   -  K 3,890",No,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
173,7:15  -  7:29,82210553,Eastern,Chipata,Rural,Female,1,None,C2,Completed high School,Other Christian,Other (specify),C2,"K 3,155   -  K 3,890",No,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
174,7:45  -  7:59,82210553,Eastern,Chipata,Rural,Female,1,None,C2,Completed high School,Other Christian,Other (specify),C2,"K 3,155   -  K 3,890",No,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
175,7:30  -  7:44,82210553,Eastern,Chipata,Rural,Female,1,None,C2,Completed high School,Other Christian,Other (specify),C2,"K 3,155   -  K 3,890",No,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
176,8:15  -  8:29,82369701,Eastern,Chipata,Urban,Male,1,None,C2,Some high school,Other Christian,Self employed,C2,Under K 849,No,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
177,8:00  -  8:14,82369701,Eastern,Chipata,Urban,Male,1,None,C2,Some high school,Other Christian,Self employed,C2,Under K 849,No,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
178,8:30  -  8:44,82369701,Eastern,Chipata,Urban,Male,1,None,C2,Some high school,Other Christian,Self employed,C2,Under K 849,No,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
179,8:45  -  8:59,82369701,Eastern,Chipata,Urban,Male,1,None,C2,Some high school,Other Christian,Self employed,C2,Under K 849,No,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
180,7:00  -  7:14,82369701,Eastern,Chipata,Urban,Male,1,None,C2,Some high school,Other Christian,Self employed,C2,Under K 849,No,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
181,7:15  -  7:29,82369701,Eastern,Chipata,Urban,Male,1,None,C2,Some high school,Other Christian,Self employed,C2,Under K 849,No,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
182,7:30  -  7:44,82369701,Eastern,Chipata,Urban,Male,1,None,C2,Some high school,Other Christian,Self employed,C2,Under K 849,No,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
183,7:45  -  7:59,82369701,Eastern,Chipata,Urban,Male,1,None,C2,Some high school,Other Christian,Self employed,C2,Under K 849,No,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
184,11:00  -  11:14,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
185,11:15  -  11:29,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
186,11:30  -  11:44,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
187,11:45  -  11:59,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
188,8:00  -  8:14,82367016,Southern,Livingstone,Urban,Female,0,None,DE,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,"8:00  -  8:14,8:45  -  8:59"
189,8:45  -  8:59,82367016,Southern,Livingstone,Urban,Female,0,None,DE,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,"8:00  -  8:14,8:45  -  8:59"
