SbjNum,Where Radio was Accessed P7D,Usuall Access to Radio,6 am to 9 am,9 am to 12 pm,12 pm to 3 pm,3 pm to 6 pm,6 pm to 9 pm,9 pm to 1 am,1 am to 6 am,Favourite Radio Station,Reasons for Favourite Radio Station,Preferred Day of the Week for Favourite Station,Type of Radio Programmes Liked,Other Types of Radio Programmes Liked,Preferred time for Music on radio,Other Preferred time for Music on radio,Stations Availability in your Area
60637378,At home,On a radioOn a mobile phone,Do not listen at this time,Do not listen at this time,Do not listen at this time,7 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Icengelo,Gods preaching,Tuesday,"Radio drama,", ,Early evening, ,Icengelo
60637568,At home,On a mobile phone,3 days per week,2 days per week,3 days per week,5 days per week,3 days per week,1 day per week,Do not listen at this time,Rise FM,they  air nice programs such religious issues and and music,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Religious,", ,Early morning, ,"Icengelo,Iwave,Kokoliko,Phoenix,Rise FM"
60637863,At home,On a radio,2 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Less than that,Less than that,Do not listen at this time,Phoenix,because the programs inspire me,Saturday,"Developmental issues e.g. building of roads,News/current affairs,", ,Early morning, ,Icengelo
60638604,At home,On a radioOn a mobile phone,5 days per week,4 days per week,4 days per week,5 days per week,3 days per week,Do not listen at this time,Do not listen at this time,Chimwemwe,good programmes,Thursday,"Music shows,Social/community programs e.g. people with special needs,", ,Lunch time, ,"Chimwemwe,Icengelo,Jive,Sun"
60638856,At home,On a radioOn a mobile phone,6 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,2 days per week,Do not listen at this time,Do not listen at this time,Icengelo,Church programs,Sunday,"Religious,", ,Late morning, ,"BBC,Flava FM,Icengelo,Radio 1,Yar"
60639043,At home,On a mobile phone,Less than that,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Less than that,Less than that,Komboni,because they play local music and that's the one I like,"Saturday,Sunday","Agricultural issues,", ,Late evening, ,"Komboni,ZNBC 1,ZNBC 2"
60639044,At home,On a radio,Less than that,Less than that,Less than that,Less than that,Do not listen at this time,Less than that,Less than that,ZNBC 1,because they bring local programs or local languages,"Wednesday,Thursday,Sunday","Music shows,", ,Late evening, ,"Komboni,Phoenix,ZNBC 1,ZNBC 2"
60639045,At home,On a radio,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,ZNBC 1,because they bring local programs or local languages,"Friday,Saturday,Sunday","Politics,", ,Late evening, ,"Komboni,Millennium,ZNBC 1,ZNBC 2,ZNBC 4"
60639046,At home,On a radio,Less than that,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Radio 1,because they bring local languages,"Tuesday,Wednesday,Thursday,Saturday","Health issues e.g. HIV / AIDS,", ,Late evening, ,"Christian Voice,Komboni,Millennium,ZNBC 1,ZNBC 2,ZNBC 4"
60639047,At home,On a radio,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,Komboni,because they bring local music and local programs,"Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Agricultural issues,", ,Early evening, ,"Komboni,Radio 1,Radio 2"
60639283,At home,On a radioOn a mobile phone,3 days per week,5 days per week,5 days per week,6 days per week,6 days per week,6 days per week,Less than that,Radio 1,Best for Local drama and community programs.,Monday,"Social/community programs e.g. people with special needs,Radio drama,Music shows,", ,Early evening, ,"Breeze,Feel Free,Maria,QFM,Radio 1,ZNBC 1"
60639386,At home,On a mobile phone,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,Icengelo,I love listening  to radio  drama and news,"Tuesday,Wednesday,Thursday,Saturday","Music shows,Religious,", ,Late evening, ,"Icengelo,Kokoliko,Phoenix"
60639916,At homeAnother household (friends relatives house),On a radio,7 days per week,Less than that,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Yar,I like non stop music top 10,"Tuesday,Friday","Music shows,Gender issues,Politics,Religious,News/current affairs,Health issues e.g. HIV / AIDS,Sports Commentaries,Environmental issues,", ,Other (specify),early and late morning,"Icengelo,Radio 1,Yar"
60640299,At home,On a mobile phone,2 days per week,Less than that,1 day per week,1 day per week,1 day per week,2 days per week,Do not listen at this time,ZNBC MUSIC,music programmes,Monday,"Music shows,", ,Late afternoon, ,"BBC,Parliament,Radio Christian Voice,ZNBC MUSIC"
60640300,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Less than that,Less than that,Do not listen at this time,Yar,because of sports update,Wednesday,"Sports Commentaries,", ,Early evening, ,"Flava FM,Icengelo,Phoenix,Yar"
60640302,At home,On a radio,7 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,7 days per week,Do not listen at this time,Do not listen at this time,Radio 1,community programmes,Wednesday,"Gender issues,Agricultural issues,Radio drama,News/current affairs,Music shows,", ,Late afternoon, ,"BBC,Chimwemwe,Icengelo,Phoenix,Radio 1,Radio 2,Radio Christian Voice"
60640303,At home,On a radioOn a mobile phone,7 days per week,Do not listen at this time,Do not listen at this time,7 days per week,Do not listen at this time,Less than that,Do not listen at this time,Radio 4,news and current affairs worldwide,Wednesday,"News/current affairs,", ,Late afternoon, ,"Chimwemwe,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60640304,At home,On a radio,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,Chimwemwe,provides interesting programmes,"Wednesday,Saturday,Sunday","Religious,Music shows,Agricultural issues,", ,Early afternoon, ,"Chimwemwe,Icengelo,Radio 1,Radio 2,Radio Christian Voice,Sun"
60640305,At home,On a radio,Less than that,Do not listen at this time,Do not listen at this time,Do not listen at this time,Less than that,Do not listen at this time,Do not listen at this time,Radio 4,news and current affairs worldwide/sports  and various advertisements,Saturday,"News/current affairs,Radio drama,Sports Commentaries,", ,Early evening, ,"Chimwemwe,Flava FM,Icengelo,Radio 1"
60640632,At home,On a radioInternet,5 days per week,5 days per week,5 days per week,5 days per week,2 days per week,1 day per week,Less than that,Radio 1,Best for Local drama.,Monday,"Religious,Radio drama,News/current affairs,Social/community programs e.g. people with special needs,", ,Early evening, ,"Breeze,Feel Free,Maria,QFM,Radio 1,Radio 4,ZNBC 1"
60641373,At home,On a radioOn a mobile phone,1 day per week,2 days per week,2 days per week,2 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Icengelo,the air religious issues,"Tuesday,Friday,Saturday","Religious,Other (specify),Social/community programs e.g. people with special needs,",marriage issues and weekly news,Late afternoon, ,"Icengelo,Kokoliko,Phoenix,Radio Christian Voice,Rise FM"
60641441,At homeAt work (office field etc),On a radioOn a mobile phone,2 days per week,4 days per week,3 days per week,6 days per week,3 days per week,3 days per week,Do not listen at this time,SKY,I like the oldies nd rnb songs nd programs they bring,Saturday,"Environmental issues,Health issues e.g. HIV / AIDS,Social/community programs e.g. people with special needs,News/current affairs,Religious,Radio drama,Children's programs,Developmental issues e.g. building of roads,Gender issues,", ,Late evening, ,"Chikuni,Mazabuka,Q FM,Radio 1,Radio 2,Radio 4,SKY"
60641442,At homeIn a car-privateBusPublic van,On a radio,2 days per week,4 days per week,2 days per week,3 days per week,3 days per week,Do not listen at this time,Do not listen at this time,Mazabuka,it's local nd they bring local content,Sunday,"News/current affairs,Music shows,Politics,Religious,Health issues e.g. HIV / AIDS,Developmental issues e.g. building of roads,Sports Commentaries,Social/community programs e.g. people with special needs,Radio drama,", ,Lunch time, ,"Mazabuka,Radio 1,Radio 2,Radio 4"
60641531,At home,On a radioOn a mobile phone,1 day per week,Less than that,Less than that,Less than that,Less than that,Less than that,Do not listen at this time,Radio 1,local programs,Sunday,"Music shows,News/current affairs,Health issues e.g. HIV / AIDS,Religious,", ,Early morning, ,"Icengelo,Radio 1"
60641532,At home,On a radioOn a mobile phone,1 day per week,1 day per week,Less than that,Less than that,7 days per week,7 days per week,Do not listen at this time,Chimwemwe,lot of programs,"Wednesday,Thursday,Saturday,Sunday","Radio drama,News/current affairs,Religious,Music shows,Health issues e.g. HIV / AIDS,Agricultural issues,", ,Early evening, ,"BBC,Chimwemwe,Icengelo,QFM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,{0}"
60641533,At homeBus,On a radioOn a mobile phone,2 days per week,4 days per week,Less than that,Less than that,3 days per week,1 day per week,Less than that,Radio 1,overall best local,"Tuesday,Wednesday,Friday,Saturday","Developmental issues e.g. building of roads,Agricultural issues,Religious,Children's programs,News/current affairs,Radio drama,Health issues e.g. HIV / AIDS,Gender issues,Environmental issues,Politics,Music shows,Sports Commentaries,", ,Early evening, ,"Chimwemwe,Icengelo,Radio 1,Radio 2,Radio 4,Yar,{0}"
60641534,At home,On a radioOn a mobile phone,Less than that,Less than that,Less than that,Less than that,4 days per week,Less than that,Do not listen at this time,Icengelo,more programs,"Monday,Wednesday,Thursday","Health issues e.g. HIV / AIDS,News/current affairs,Religious,Music shows,Radio drama,", ,Early evening, ,"Chimwemwe,Icengelo,Radio 1,{0}"
60641535,At homeAnother household (friends relatives house),On a radio,Do not listen at this time,Less than that,Less than that,Less than that,2 days per week,Less than that,Do not listen at this time,Icengelo,variety of local programs and drama,"Tuesday,Wednesday","Radio drama,Music shows,News/current affairs,Religious,", ,Early evening, ,"Icengelo,{0}"
60641536,At home,On a radio,Less than that,Do not listen at this time,Do not listen at this time,Do not listen at this time,4 days per week,Less than that,Do not listen at this time,{0},they play the music i like,"Wednesday,Friday,Saturday,Sunday","Music shows,Radio drama,News/current affairs,Religious,", ,Early evening, ,"Icengelo,Phoenix,Radio 1,{0}"
60641537,At homeAt work (office field etc)Bus,On a radio,Less than that,Less than that,Less than that,Less than that,4 days per week,1 day per week,Do not listen at this time,Sun,good music and news headlines come every hour,"Friday,Saturday,Sunday","News/current affairs,Music shows,", ,Early evening, ,"Chimwemwe,Icengelo,Phoenix,Radio 1,Radio 4,Radio Christian Voice,Sun,{0}"
60641739,At home,On a mobile phone,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,1 day per week,Do not listen at this time,Do not listen at this time,Flava FM,Programs,Friday,"Religious,", ,Early evening, ,"Flava FM,Icengelo,Iwave,Kokoliko,Radio 4"
60642157,At home,On a radio,2 days per week,7 days per week,2 days per week,1 day per week,4 days per week,1 day per week,7 days per week,Radio Christian Voice,good programmes,Friday,"Gender issues,Religious,", ,Early morning, ,"Chimwemwe,Icengelo,Jive,Radio Christian Voice,Sun"
60642331,At home,On a radio,6 days per week,6 days per week,4 days per week,5 days per week,4 days per week,2 days per week,7 days per week,Flava FM,music,"Friday,Sunday","Music shows,", ,Late afternoon, ,"Flava FM,Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar"
60642332,At home,On a radioOn a mobile phone,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,Icengelo,gospel,"Saturday,Sunday","Music shows,", ,Early afternoon, ,"Flava FM,Icengelo,Parliament,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar"
60642412,At home,On a radioOn a mobile phone,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,None,I don't listen,Monday,"Other (specify),",i stopped listening to radio,Other (specify),I stopped,None
60642680,At homeAnother household (friends relatives house)In a market placPublic van,On a radio,7 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Nmano,its our local station,"Saturday,Sunday","Music shows,Health issues e.g. HIV / AIDS,Agricultural issues,Developmental issues e.g. building of roads,Radio drama,News/current affairs,Sports Commentaries,Social/community programs e.g. people with special needs,", ,Early morning, ,"BBC,Lutanda,Nmano,Nothern FM,Radio 1,Radio 2,Radio Christian Voice"
60642681,At homeAnother household (friends relatives house)In a car-privateIn a market plac,On a radioOn a mobile phone,Less than that,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Less than that,Do not listen at this time,Nmano,its ours as kasama residents,Saturday,"Politics,Developmental issues e.g. building of roads,News/current affairs,Music shows,Radio drama,", ,Early morning, ,"BBC,Lutanda,Nmano,Nothern FM,Radio 1,Radio 2,Radio Christian Voice"
60642682,At homeAnother household (friends relatives house)In a market plac,On a radio,1 day per week,1 day per week,1 day per week,Less than that,Less than that,Do not listen at this time,Do not listen at this time,Radio 1,i enjoy the wednesday program,Wednesday,"Radio drama,Social/community programs e.g. people with special needs,Developmental issues e.g. building of roads,", ,Other (specify),dont have specific time,"Lutanda,Nmano,Nothern FM,Radio 1"
60642683,Another household (friends relatives house),On a radio,Less than that,Less than that,Less than that,Less than that,Do not listen at this time,Do not listen at this time,Do not listen at this time,Nmano,its local,Sunday,"Developmental issues e.g. building of roads,Radio drama,Music shows,News/current affairs,Social/community programs e.g. people with special needs,", ,Early morning, ,"Lutanda,Nmano,Nothern FM,Radio 1"
60642684,At homeAnother household (friends relatives house),On a radio,7 days per week,Less than that,Less than that,Less than that,Less than that,Do not listen at this time,Do not listen at this time,Lutanda,most of thier programs are community based,Monday,"Religious,Gender issues,News/current affairs,Developmental issues e.g. building of roads,Social/community programs e.g. people with special needs,Radio drama,", ,Early morning, ,"Lutanda,Nmano,Nothern FM,Radio 1"
60642685,At homeAnother household (friends relatives house)In a restaurantIn a market placPublic van,On a radioOn a mobile phone,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,Nmano,i just like it,Wednesday,"Health issues e.g. HIV / AIDS,Social/community programs e.g. people with special needs,News/current affairs,Gender issues,Agricultural issues,Radio drama,", ,Early evening, ,"Lutanda,Nmano,Nothern FM,Radio 1"
60643021,At home,On a radio,2 days per week,5 days per week,5 days per week,5 days per week,3 days per week,Less than that,Do not listen at this time,Feel Free,Best for Local drama and community programs.,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Gender issues,Social/community programs e.g. people with special needs,Religious,News/current affairs,Music shows,Radio drama,", ,Early evening, ,"Breeze,Feel Free,Maria,Mphangwe,Parliament,Radio 1,Radio 4,Radio Christian Voice,ZNBC 1"
60644669,At home,On a radio,Less than that,3 days per week,6 days per week,5 days per week,5 days per week,1 day per week,Less than that,Radio 1,Best for Local drama and news updates,"Monday,Wednesday,Thursday","Religious,News/current affairs,Radio drama,Gender issues,Social/community programs e.g. people with special needs,", ,Early evening, ,"Breeze,Feel Free,Maria,Mphangwe,Parliament,QFM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,ZNBC 1"
60648302,At home,On a radioOn a mobile phone,7 days per week,4 days per week,5 days per week,5 days per week,5 days per week,3 days per week,Less than that,Radio 1,Best for Local drama.,"Monday,Wednesday,Thursday","News/current affairs,Religious,Social/community programs e.g. people with special needs,", ,Early evening, ,"Breeze,Feel Free,Maria,Mphangwe,QFM,Radio 1,Radio 2,ZNBC 1"
60649333,Another household (friends relatives house)At work (office field etc)Bus,On a radio,Do not listen at this time,3 days per week,3 days per week,3 days per week,Do not listen at this time,Do not listen at this time,Less than that,Radio 1,Best for Local News.,"Monday,Tuesday","News/current affairs,Music shows,Social/community programs e.g. people with special needs,Politics,Radio drama,", ,Lunch time, ,"Breeze,Feel Free,Maria,QFM,Radio 1"
60649637,At home,On a radioOn a mobile phone,3 days per week,3 days per week,Less than that,Less than that,2 days per week,Do not listen at this time,Do not listen at this time,Komboni,i love the music there,"Friday,Saturday,Sunday","Radio drama,Music shows,Gender issues,", ,Early morning, ,"Hot,Joy,Komboni,Millennium,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Rock FM,Unza"
60649638,At home,On a mobile phone,Less than that,Less than that,1 day per week,Less than that,6 days per week,Less than that,Do not listen at this time,{0},Gospel music,"Saturday,Sunday","News/current affairs,Religious,", ,Late evening, ,"Evelyn,Hot,Komboni,Millennium,Modern voice,Parliament,Radio 1,Radio 2,Radio 4,Unza,{0}"
60649639,At home,On a radioOn a mobile phone,4 days per week,4 days per week,Do not listen at this time,Do not listen at this time,4 days per week,Less than that,Do not listen at this time,Komboni,i love the music there,"Tuesday,Thursday,Sunday","Music shows,Radio drama,", ,Late evening, ,"5FM,Comet 10,Evelyn,Hot,Joy,Komboni,Millennium,Parliament,Phoenix,Radio 1,Radio 2,Radio 4,Rock FM"
60649640,At home,On a radioOn a mobile phone,4 days per week,4 days per week,4 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Komboni,local music,"Monday,Wednesday,Friday,Sunday","Gender issues,Music shows,", ,Early morning, ,"5FM,Christian Voice,Evelyn,Hot,Komboni,Millennium,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Rock FM"
60650160,At homeAnother household (friends relatives house)Private taxiIn a barIn a market placBusPublic vanIn hospital,On a radio,3 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Icengelo,i like listening to my favourite music and programs,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Music shows,News/current affairs,", ,Early morning, ,Sun
60650161,At home,On a radio,Do not listen at this time,Do not listen at this time,4 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Sun,I like listen to press review,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Radio drama,News/current affairs,", ,Early afternoon, ,Sun
60650162,At homeIn a car-privatePrivate taxi,On a radio,7 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Sun,I listen to my favourite music,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","News/current affairs,Environmental issues,Gender issues,Politics,Music shows,", ,Early morning, ,Sun
60650163,At home,On a radio,7 days per week,Do not listen at this time,7 days per week,Do not listen at this time,Do not listen at this time,1 day per week,Do not listen at this time,Sun,because is live,"Monday,Tuesday,Thursday,Friday","Music shows,Social/community programs e.g. people with special needs,Environmental issues,News/current affairs,Radio drama,", ,Early evening, ,Sun
60650164,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,3 days per week,Do not listen at this time,Sun,I listen to my favourite music,Friday,"Religious,", ,Late evening, ,Sun
60650165,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,1 day per week,1 day per week,Sun,its available,Tuesday,"Social/community programs e.g. people with special needs,", ,Late evening, ,Sun
60650166,At homeBus,On a radioOn a mobile phone,7 days per week,Do not listen at this time,Less than that,Do not listen at this time,Do not listen at this time,Do not listen at this time,Less than that,Sun,cause that's the only station which is available here in chililabombwe,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","News/current affairs,Music shows,Sports Commentaries,", ,Early morning, ,Sun
60650383,At homeAnother household (friends relatives house)Bus,On a radio,7 days per week,5 days per week,3 days per week,4 days per week,5 days per week,6 days per week,Do not listen at this time,Feel Free,Best for Local music entertainment.,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Radio drama,News/current affairs,Social/community programs e.g. people with special needs,Music shows,", ,Early morning, ,"Breeze,Feel Free,Maria,Mphangwe,Parliament,QFM,Radio 1,Radio 2,Radio Christian Voice,ZNBC 1"
60650431,At home,On a radioOn a mobile phone,7 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,7 days per week,Do not listen at this time,Do not listen at this time,Radio 1,it's entertaining,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","News/current affairs,Radio drama,", ,Early morning, ,"KNC,Maranatha,Phoenix,Radio 1,Radio 2,Radio Chrsitian Voice"
60650432,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,7 days per week,Do not listen at this time,Do not listen at this time,Radio 1,it's entertaining,"Wednesday,Friday","Agricultural issues,News/current affairs,Radio drama,", ,Early evening, ,"KNC,Maranatha,Phoenix,Radio 1,Radio 2,Radio Chrsitian Voice"
60650433,At home,On a mobile phone,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,5 days per week,Do not listen at this time,Do not listen at this time,Radio 1,it's entertaining,"Wednesday,Friday","Radio drama,", ,Early evening, ,"KNC,Phoenix,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice"
60650434,,,,,,,,,,,,,",", ,, ,
60650435,At home,On a radio,1 day per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,2 days per week,Do not listen at this time,Do not listen at this time,Radio 1,it's entertaining,"Wednesday,Friday","News/current affairs,Radio drama,", ,Early morning, ,"KNC,Phoenix,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice"
60650436,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,2 days per week,Do not listen at this time,Do not listen at this time,Radio 1,it's entertaining,Wednesday,"Radio drama,Religious,", ,Early evening, ,"Radio 1,Radio 2"
60650481,At home,On a radio,Do not listen at this time,Less than that,Less than that,Less than that,4 days per week,Less than that,Do not listen at this time,Beats,Youthful programs and good music,"Saturday,Sunday","News/current affairs,Religious,Music shows,Sports Commentaries,", ,Late evening, ,"Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4"
60650482,At home,On a radio,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,Do not listen at this time,New Generation,Good music,"Saturday,Sunday","Health issues e.g. HIV / AIDS,Social/community programs e.g. people with special needs,Music shows,Religious,Gender issues,Politics,News/current affairs,", ,Early morning, ,"Beats,FCC Solwezi,Kabangabanga,New Generation"
60650483,At home,On a radio,Less than that,Less than that,Less than that,Less than that,7 days per week,Less than that,Do not listen at this time,Kabangabanga,Gospel,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Developmental issues e.g. building of roads,Environmental issues,News/current affairs,Music shows,Gender issues,Religious,Health issues e.g. HIV / AIDS,", ,Late evening, ,"BBC,Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60650484,At home,On a radio,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,New Generation,Youthful programs and good music,"Saturday,Sunday","Health issues e.g. HIV / AIDS,Developmental issues e.g. building of roads,News/current affairs,Gender issues,Music shows,", ,Late evening, ,"Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60650485,At home,On a radio,7 days per week,Less than that,Less than that,Less than that,7 days per week,7 days per week,Less than that,Beats,Good music,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Music shows,Politics,Social/community programs e.g. people with special needs,News/current affairs,Health issues e.g. HIV / AIDS,", ,Early morning, ,"Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60650486,At home,On a radio,Less than that,Less than that,Less than that,Less than that,7 days per week,7 days per week,Less than that,Beats,Good music,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","News/current affairs,Politics,Music shows,Gender issues,", ,Late evening, ,"Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60650487,At home,On a radio,Less than that,2 days per week,Less than that,Less than that,Less than that,7 days per week,Do not listen at this time,Radio Christian Voice,The Gospel,"Saturday,Sunday","Religious,Social/community programs e.g. people with special needs,Health issues e.g. HIV / AIDS,News/current affairs,Politics,Gender issues,Developmental issues e.g. building of roads,", ,Late morning, ,"Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio Christian Voice"
60651315,At homeAnother household (friends relatives house),On a radioOn a mobile phone,1 day per week,3 days per week,Less than that,1 day per week,2 days per week,1 day per week,Less than that,PASME,because of the local music they play,"Tuesday,Wednesday,Friday,Saturday","Radio drama,Environmental issues,News/current affairs,Agricultural issues,Music shows,Religious,Social/community programs e.g. people with special needs,", ,Early morning, ,"BBC,Breeze,Maria,Parliament,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 4"
60651316,At homeIn a market plac,On a radioOn a mobile phone,Do not listen at this time,Do not listen at this time,Do not listen at this time,2 days per week,1 day per week,Less than that,Less than that,Petauke Explorers,I like the music they play,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","News/current affairs,Religious,Music shows,Politics,Social/community programs e.g. people with special needs,", ,Late evening, ,"PASME,Petauke Explorers"
60651317,At home,On a mobile phone,Do not listen at this time,Less than that,1 day per week,1 day per week,3 days per week,5 days per week,Do not listen at this time,Petauke Explorers,the signal is always available,"Wednesday,Friday,Saturday,Sunday","Agricultural issues,Social/community programs e.g. people with special needs,Music shows,Health issues e.g. HIV / AIDS,Radio drama,Environmental issues,Religious,Developmental issues e.g. building of roads,News/current affairs,Gender issues,", ,Lunch time, ,"Breeze,Maria,Parliament,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 4"
60651318,At home,On a radioOn a mobile phone,7 days per week,6 days per week,7 days per week,3 days per week,7 days per week,4 days per week,Do not listen at this time,Maria,it airs programs from my church roman Catholic,"Monday,Wednesday,Sunday","Agricultural issues,Developmental issues e.g. building of roads,Social/community programs e.g. people with special needs,Environmental issues,Health issues e.g. HIV / AIDS,Religious,News/current affairs,", ,Early morning, ,"PASME,Petauke Explorers"
60651953,At homeAnother household (friends relatives house)In a market plac,On a mobile phone,4 days per week,Less than that,Do not listen at this time,Do not listen at this time,4 days per week,Less than that,Do not listen at this time,{0},Zambian music,"Monday,Wednesday,Friday,Saturday,Sunday","Developmental issues e.g. building of roads,Music shows,Health issues e.g. HIV / AIDS,Religious,Radio drama,News/current affairs,", ,Early morning, ,"BBC,Maranatha,Phoenix,Radio 1,Radio 2,Radio 4,{0}"
60651954,At homeAnother household (friends relatives house)In a market plac,On a radio,4 days per week,Less than that,1 day per week,2 days per week,3 days per week,Less than that,Do not listen at this time,Radio 1,traditional programmes,"Wednesday,Sunday","Agricultural issues,News/current affairs,Religious,Health issues e.g. HIV / AIDS,Radio drama,", ,Early morning, ,"BBC,Phoenix,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,{0}"
60651955,At homeAnother household (friends relatives house),On a mobile phone,2 days per week,Less than that,Less than that,5 days per week,7 days per week,3 days per week,Do not listen at this time,{0},Zambian music,"Monday,Wednesday,Thursday,Friday,Saturday,Sunday","Developmental issues e.g. building of roads,Religious,Music shows,Social/community programs e.g. people with special needs,Sports Commentaries,Radio drama,Health issues e.g. HIV / AIDS,", ,Early morning, ,"5FM,Maranatha,Phoenix,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,{0}"
60653289,At homeAt work (office field etc)Bus,On a radioOn a mobile phone,5 days per week,5 days per week,3 days per week,2 days per week,3 days per week,3 days per week,Do not listen at this time,Radio 1,Best for Local drama and news updates.,"Monday,Wednesday,Thursday","Radio drama,Religious,News/current affairs,Social/community programs e.g. people with special needs,", ,Early evening, ,"Breeze,Feel Free,Maria,Mphangwe,Parliament,QFM,Radio 1,Radio 2,Radio Christian Voice,ZNBC 1"
60654475,At homeBusPublic van,On a radio,5 days per week,5 days per week,3 days per week,3 days per week,3 days per week,4 days per week,Do not listen at this time,Breeze,It has the best youth programs.,Monday,"Music shows,Gender issues,Radio drama,Social/community programs e.g. people with special needs,Other (specify),",youth program.,Early afternoon, ,"Breeze,Feel Free,Maria,Mphangwe,QFM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,ZNBC 1"
60654803,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Less than that,5 days per week,Do not listen at this time,Radio Christian Voice,good religious programs,Saturday,"Religious,", ,Late evening, ,"Falls,Mosi-0-Tunya,Radio Christian Voice,Zambezi"
