,Al Jazeera  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Al Jazeera  Saturday
123,18:00  -  18:14,60534387,Copperbelt,Luanshya,Urban,Male,0,None,C1,Some high school,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],D,K 850-K 1674,No,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
124,19:15  -  19:29,60534387,Copperbelt,Luanshya,Urban,Male,0,None,C1,Some high school,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],D,K 850-K 1674,No,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
125,18:30  -  18:44,60534387,Copperbelt,Luanshya,Urban,Male,0,None,C1,Some high school,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],D,K 850-K 1674,No,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
126,20:00  -  20:14,60534387,Copperbelt,Luanshya,Urban,Male,0,None,C1,Some high school,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],D,K 850-K 1674,No,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
127,19:30  -  19:44,60534387,Copperbelt,Luanshya,Urban,Male,0,None,C1,Some high school,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],D,K 850-K 1674,No,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
128,19:00  -  19:14,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
129,19:45  -  19:59,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
130,21:00  -  21:14,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
131,20:45  -  20:59,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
132,22:00  -  22:14,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
133,21:30  -  21:44,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
134,20:15  -  20:29,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
135,19:15  -  19:29,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
136,21:15  -  21:29,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
137,20:30  -  20:44,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
138,21:45  -  21:59,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
139,20:00  -  20:14,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
140,19:30  -  19:44,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
141,17:00  -  17:14,60562097,Lusaka,Kafue,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,15 – 18,"14:00  -  14:14,17:00  -  17:14,17:45  -  17:59"
142,17:45  -  17:59,60562097,Lusaka,Kafue,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,15 – 18,"14:00  -  14:14,17:00  -  17:14,17:45  -  17:59"
143,14:00  -  14:14,60562097,Lusaka,Kafue,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,15 – 18,"14:00  -  14:14,17:00  -  17:14,17:45  -  17:59"
144,17:15  -  17:29,60583202,Northern,Kasama,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
145,17:00  -  17:14,60583202,Northern,Kasama,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
146,18:00  -  18:14,60583202,Northern,Kasama,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
147,17:45  -  17:59,60583202,Northern,Kasama,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
148,17:30  -  17:44,60583202,Northern,Kasama,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
149,8:00  -  8:14,60583347,Lusaka,Kafue,Urban,Male,2,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"8:00  -  8:14,9:00  -  9:14,10:00  -  10:14,10:45  -  10:59,12:00  -  12:14"
150,10:45  -  10:59,60583347,Lusaka,Kafue,Urban,Male,2,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"8:00  -  8:14,9:00  -  9:14,10:00  -  10:14,10:45  -  10:59,12:00  -  12:14"
151,12:00  -  12:14,60583347,Lusaka,Kafue,Urban,Male,2,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"8:00  -  8:14,9:00  -  9:14,10:00  -  10:14,10:45  -  10:59,12:00  -  12:14"
152,10:00  -  10:14,60583347,Lusaka,Kafue,Urban,Male,2,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"8:00  -  8:14,9:00  -  9:14,10:00  -  10:14,10:45  -  10:59,12:00  -  12:14"
153,9:00  -  9:14,60583347,Lusaka,Kafue,Urban,Male,2,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"8:00  -  8:14,9:00  -  9:14,10:00  -  10:14,10:45  -  10:59,12:00  -  12:14"
154,19:00  -  19:14,60588156,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
155,19:45  -  19:59,60588156,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
156,22:15  -  22:29,60588156,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
157,21:00  -  21:14,60588156,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
158,20:45  -  20:59,60588156,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
159,22:00  -  22:14,60588156,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
160,21:30  -  21:44,60588156,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
161,20:15  -  20:29,60588156,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
162,19:15  -  19:29,60588156,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
163,21:15  -  21:29,60588156,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
164,20:30  -  20:44,60588156,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
165,22:30  -  22:44,60588156,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
166,21:45  -  21:59,60588156,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
167,22:45  -  22:59,60588156,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
168,20:00  -  20:14,60588156,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
169,19:30  -  19:44,60588156,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
170,22:00  -  22:14,60588160,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,45+,"21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
171,21:30  -  21:44,60588160,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,45+,"21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
172,21:45  -  21:59,60588160,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,45+,"21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
173,21:15  -  21:29,60588160,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,45+,"21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
174,12:45  -  12:59,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
175,13:45  -  13:59,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
176,14:00  -  14:14,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
177,12:30  -  12:44,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
178,14:30  -  14:44,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
179,14:15  -  14:29,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
180,13:00  -  13:14,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
181,13:15  -  13:29,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
182,13:30  -  13:44,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
183,12:15  -  12:29,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
184,19:00  -  19:14,60689990,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
185,19:45  -  19:59,60689990,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
186,20:15  -  20:29,60689990,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
187,19:15  -  19:29,60689990,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
188,20:00  -  20:14,60689990,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
189,19:30  -  19:44,60689990,Lusaka,Lusaka district,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
190,19:00  -  19:14,60711134,Copperbelt,Luanshya,Rural,Male,1,One,C1,Some high school,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
191,19:45  -  19:59,60711134,Copperbelt,Luanshya,Rural,Male,1,One,C1,Some high school,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
192,20:15  -  20:29,60711134,Copperbelt,Luanshya,Rural,Male,1,One,C1,Some high school,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
193,19:15  -  19:29,60711134,Copperbelt,Luanshya,Rural,Male,1,One,C1,Some high school,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
194,20:00  -  20:14,60711134,Copperbelt,Luanshya,Rural,Male,1,One,C1,Some high school,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
