,Zambezi Magic  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Zambezi Magic  Yesterday
789,15:00  -  15:14,60712976,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,No Income,Under K 849,Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
790,14:45  -  14:59,60712977,Copperbelt,Chingola,Urban,Female,1,None,C1,Some university,Other Christian,Housewife,C2,Under K 849,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
791,14:15  -  14:29,60712977,Copperbelt,Chingola,Urban,Female,1,None,C1,Some university,Other Christian,Housewife,C2,Under K 849,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
792,14:30  -  14:44,60712977,Copperbelt,Chingola,Urban,Female,1,None,C1,Some university,Other Christian,Housewife,C2,Under K 849,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
793,14:00  -  14:14,60712977,Copperbelt,Chingola,Urban,Female,1,None,C1,Some university,Other Christian,Housewife,C2,Under K 849,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
794,15:00  -  15:14,60712977,Copperbelt,Chingola,Urban,Female,1,None,C1,Some university,Other Christian,Housewife,C2,Under K 849,Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
795,11:15  -  11:29,60712980,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,"10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29"
796,10:15  -  10:29,60712980,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,"10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29"
797,11:00  -  11:14,60712980,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,"10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29"
798,10:45  -  10:59,60712980,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,"10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29"
799,10:30  -  10:44,60712980,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,"10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29"
800,13:00  -  13:14,60713030,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Roman Catholic,Student,C2,K 850-K 1674,Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
801,13:30  -  13:44,60713030,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Roman Catholic,Student,C2,K 850-K 1674,Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
802,13:45  -  13:59,60713030,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Roman Catholic,Student,C2,K 850-K 1674,Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
803,13:15  -  13:29,60713030,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Roman Catholic,Student,C2,K 850-K 1674,Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
804,11:45  -  11:59,60713031,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Anglican/Protestant,Student,C1,"K 1675- K2,499",Yes,19 – 24,"11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44"
805,12:00  -  12:14,60713031,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Anglican/Protestant,Student,C1,"K 1675- K2,499",Yes,19 – 24,"11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44"
806,12:30  -  12:44,60713031,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Anglican/Protestant,Student,C1,"K 1675- K2,499",Yes,19 – 24,"11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44"
807,11:30  -  11:44,60713031,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Anglican/Protestant,Student,C1,"K 1675- K2,499",Yes,19 – 24,"11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44"
808,12:15  -  12:29,60713031,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Anglican/Protestant,Student,C1,"K 1675- K2,499",Yes,19 – 24,"11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44"
809,19:45  -  19:59,60713270,Central,Chibombo,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,C2,Under K 849,Yes,35 – 44,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
810,16:15  -  16:29,60713270,Central,Chibombo,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,C2,Under K 849,Yes,35 – 44,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
811,15:30  -  15:44,60713270,Central,Chibombo,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,C2,Under K 849,Yes,35 – 44,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
812,15:00  -  15:14,60713270,Central,Chibombo,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,C2,Under K 849,Yes,35 – 44,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
813,20:00  -  20:14,60713270,Central,Chibombo,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,C2,Under K 849,Yes,35 – 44,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
814,21:00  -  21:14,60713270,Central,Chibombo,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,C2,Under K 849,Yes,35 – 44,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
815,15:15  -  15:29,60713270,Central,Chibombo,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,C2,Under K 849,Yes,35 – 44,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
816,18:45  -  18:59,60713270,Central,Chibombo,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,C2,Under K 849,Yes,35 – 44,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
817,20:30  -  20:44,60713270,Central,Chibombo,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,C2,Under K 849,Yes,35 – 44,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
818,15:45  -  15:59,60713270,Central,Chibombo,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,C2,Under K 849,Yes,35 – 44,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
819,19:00  -  19:14,60713270,Central,Chibombo,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,C2,Under K 849,Yes,35 – 44,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
820,20:15  -  20:29,60713270,Central,Chibombo,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,C2,Under K 849,Yes,35 – 44,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
821,19:15  -  19:29,60713270,Central,Chibombo,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,C2,Under K 849,Yes,35 – 44,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
822,19:30  -  19:44,60713270,Central,Chibombo,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,C2,Under K 849,Yes,35 – 44,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
823,14:45  -  14:59,60713270,Central,Chibombo,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,C2,Under K 849,Yes,35 – 44,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
824,20:45  -  20:59,60713270,Central,Chibombo,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,C2,Under K 849,Yes,35 – 44,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
825,14:15  -  14:29,60713270,Central,Chibombo,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,C2,Under K 849,Yes,35 – 44,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
826,21:15  -  21:29,60713270,Central,Chibombo,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,C2,Under K 849,Yes,35 – 44,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
827,14:30  -  14:44,60713270,Central,Chibombo,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,C2,Under K 849,Yes,35 – 44,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
828,16:00  -  16:14,60713270,Central,Chibombo,Urban,Female,1,None,C1,Some primary school,Roman Catholic,Housewife,C2,Under K 849,Yes,35 – 44,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
829,8:00  -  8:14,60713734,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
830,7:45  -  7:59,60713734,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
831,7:15  -  7:29,60713734,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
832,7:30  -  7:44,60713734,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
833,22:15  -  22:29,60715045,Copperbelt,Chingola,Urban,Male,1,None,C1,Some primary school,Refused (DON’T READ),Student,D,Under K 849,No,15 – 18,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
834,21:45  -  21:59,60715045,Copperbelt,Chingola,Urban,Male,1,None,C1,Some primary school,Refused (DON’T READ),Student,D,Under K 849,No,15 – 18,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
835,22:00  -  22:14,60715045,Copperbelt,Chingola,Urban,Male,1,None,C1,Some primary school,Refused (DON’T READ),Student,D,Under K 849,No,15 – 18,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
836,21:15  -  21:29,60715045,Copperbelt,Chingola,Urban,Male,1,None,C1,Some primary school,Refused (DON’T READ),Student,D,Under K 849,No,15 – 18,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
837,21:00  -  21:14,60715045,Copperbelt,Chingola,Urban,Male,1,None,C1,Some primary school,Refused (DON’T READ),Student,D,Under K 849,No,15 – 18,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
838,21:30  -  21:44,60715045,Copperbelt,Chingola,Urban,Male,1,None,C1,Some primary school,Refused (DON’T READ),Student,D,Under K 849,No,15 – 18,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
839,23:15  -  23:29,60722383,Copperbelt,Chilililabombwe,Rural,Female,2,None,C1,Primary school completed,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,19 – 24,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
840,22:15  -  22:29,60722383,Copperbelt,Chilililabombwe,Rural,Female,2,None,C1,Primary school completed,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,19 – 24,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
841,22:45  -  22:59,60722383,Copperbelt,Chilililabombwe,Rural,Female,2,None,C1,Primary school completed,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,19 – 24,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
842,23:30  -  23:44,60722383,Copperbelt,Chilililabombwe,Rural,Female,2,None,C1,Primary school completed,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,19 – 24,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
843,22:30  -  22:44,60722383,Copperbelt,Chilililabombwe,Rural,Female,2,None,C1,Primary school completed,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,19 – 24,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
844,23:00  -  23:14,60722383,Copperbelt,Chilililabombwe,Rural,Female,2,None,C1,Primary school completed,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,19 – 24,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
845,22:00  -  22:14,60722383,Copperbelt,Chilililabombwe,Rural,Female,2,None,C1,Primary school completed,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,19 – 24,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
846,14:45  -  14:59,60722388,Copperbelt,Chilililabombwe,Rural,Female,1,None,C1,Completed high School,Roman Catholic,Housewife,No Income,No Income,Yes,35 – 44,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
847,14:15  -  14:29,60722388,Copperbelt,Chilililabombwe,Rural,Female,1,None,C1,Completed high School,Roman Catholic,Housewife,No Income,No Income,Yes,35 – 44,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
848,14:30  -  14:44,60722388,Copperbelt,Chilililabombwe,Rural,Female,1,None,C1,Completed high School,Roman Catholic,Housewife,No Income,No Income,Yes,35 – 44,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
849,15:00  -  15:14,60722388,Copperbelt,Chilililabombwe,Rural,Female,1,None,C1,Completed high School,Roman Catholic,Housewife,No Income,No Income,Yes,35 – 44,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
850,19:30  -  19:44,60738754,Eastern,Petauke,Rural,Male,1,None,C1,Some high school,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,35 – 44,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
851,19:45  -  19:59,60738754,Eastern,Petauke,Rural,Male,1,None,C1,Some high school,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,35 – 44,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
852,21:15  -  21:29,60738754,Eastern,Petauke,Rural,Male,1,None,C1,Some high school,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,35 – 44,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
853,21:30  -  21:44,60738754,Eastern,Petauke,Rural,Male,1,None,C1,Some high school,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,35 – 44,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
854,21:00  -  21:14,60738754,Eastern,Petauke,Rural,Male,1,None,C1,Some high school,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,35 – 44,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
855,19:15  -  19:29,60738754,Eastern,Petauke,Rural,Male,1,None,C1,Some high school,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,35 – 44,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
856,15:15  -  15:29,60741340,Eastern,Chipata,Rural,Female,1,None,C1,Some high school,Roman Catholic,Working Full-Time,D,"K 2,500   -  K 3,154",Yes,25 – 34,"14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
857,14:45  -  14:59,60741340,Eastern,Chipata,Rural,Female,1,None,C1,Some high school,Roman Catholic,Working Full-Time,D,"K 2,500   -  K 3,154",Yes,25 – 34,"14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
858,15:45  -  15:59,60741340,Eastern,Chipata,Rural,Female,1,None,C1,Some high school,Roman Catholic,Working Full-Time,D,"K 2,500   -  K 3,154",Yes,25 – 34,"14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
859,16:00  -  16:14,60741340,Eastern,Chipata,Rural,Female,1,None,C1,Some high school,Roman Catholic,Working Full-Time,D,"K 2,500   -  K 3,154",Yes,25 – 34,"14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
860,15:30  -  15:44,60741340,Eastern,Chipata,Rural,Female,1,None,C1,Some high school,Roman Catholic,Working Full-Time,D,"K 2,500   -  K 3,154",Yes,25 – 34,"14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
861,15:00  -  15:14,60741340,Eastern,Chipata,Rural,Female,1,None,C1,Some high school,Roman Catholic,Working Full-Time,D,"K 2,500   -  K 3,154",Yes,25 – 34,"14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
862,21:45  -  21:59,60743838,Copperbelt,Kitwe,Urban,Male,2,None,C1,Some university,Others,Student,C2,"K 2,500   -  K 3,154",Yes,15 – 18,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
863,21:15  -  21:29,60743838,Copperbelt,Kitwe,Urban,Male,2,None,C1,Some university,Others,Student,C2,"K 2,500   -  K 3,154",Yes,15 – 18,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
864,21:00  -  21:14,60743838,Copperbelt,Kitwe,Urban,Male,2,None,C1,Some university,Others,Student,C2,"K 2,500   -  K 3,154",Yes,15 – 18,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
865,21:30  -  21:44,60743838,Copperbelt,Kitwe,Urban,Male,2,None,C1,Some university,Others,Student,C2,"K 2,500   -  K 3,154",Yes,15 – 18,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
866,15:15  -  15:29,60745322,Copperbelt,Chilililabombwe,Rural,Female,1,None,C1,Completed high School,Roman Catholic,Housewife,No Income,No Income,Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
867,15:45  -  15:59,60745322,Copperbelt,Chilililabombwe,Rural,Female,1,None,C1,Completed high School,Roman Catholic,Housewife,No Income,No Income,Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
